,Date,Open,High,Low,Close,Adj Close,Volume
3246,2019-06-14,526.3,529.85,521.8,524.05,524.05,1198959.0
3245,2019-06-13,525.0,533.95,516.85,529.45,529.45,1995987.0
3244,2019-06-12,522.4,531.0,519.5,523.3,523.3,2368129.0
3243,2019-06-11,531.3,532.0,511.0,525.55,525.55,4033082.0
3242,2019-06-10,550.0,559.7,520.0,528.0,528.0,4579245.0
3241,2019-06-07,542.0,545.55,532.2,540.15,540.15,2842575.0
3240,2019-06-06,538.25,543.6,530.65,541.05,541.05,2869589.0
3239,2019-06-04,542.9,544.95,530.5,536.9,536.9,2388316.0
3238,2019-06-03,547.55,552.15,541.2,542.9,542.9,1110001.0
3237,2019-05-31,545.2,552.65,539.0,549.15,549.15,2396092.0
3236,2019-05-30,540.0,547.1,535.1,545.35,545.35,1987907.0
3235,2019-05-29,535.2,542.0,525.5,539.35,539.35,2286617.0
3234,2019-05-28,539.7,543.8,532.55,537.2,537.2,1558052.0
3233,2019-05-27,531.7,541.6,528.25,537.85,537.85,2627359.0
3232,2019-05-24,553.0,561.3,512.0,530.55,530.55,11985480.0
3231,2019-05-23,579.95,597.0,545.5,547.85,547.85,3917318.0
3230,2019-05-22,548.8,556.9,532.4,554.3,554.3,1801505.0
3229,2019-05-21,565.0,571.85,542.25,544.65,544.65,1254387.0
3228,2019-05-20,550.0,566.7,540.15,563.35,563.35,1612540.0
3227,2019-05-17,531.6,537.75,527.5,534.1,534.1,947977.0
3226,2019-05-16,527.0,536.4,524.0,530.7,530.7,1235889.0
3225,2019-05-15,537.4,546.9,522.35,525.5,525.5,1763892.0
3224,2019-05-14,528.0,544.5,520.65,537.65,537.65,1760834.0
3223,2019-05-13,539.0,548.0,527.9,535.65,535.65,1504817.0
3222,2019-05-10,542.0,553.4,538.5,541.15,541.15,1131188.0
3221,2019-05-09,525.8,546.7,523.95,540.7,540.7,2138657.0
3220,2019-05-08,548.0,550.9,525.2,528.9,528.9,3009785.0
3219,2019-05-07,553.05,557.5,546.05,551.1,551.1,1828542.0
3218,2019-05-06,552.0,559.3,548.6,553.05,553.05,1380768.0
3217,2019-05-03,559.0,561.35,551.45,555.1,555.1,1676483.0
3216,2019-05-02,575.0,577.35,555.0,558.15,558.15,1361129.0
3215,2019-04-30,577.0,579.1,559.2,574.25,574.25,2126339.0
3214,2019-04-26,581.0,583.25,568.0,574.8,574.8,1194128.0
3213,2019-04-25,590.3,597.45,573.0,575.75,575.75,2045696.0
3212,2019-04-24,585.45,589.75,582.45,588.0,588.0,1141566.0
3211,2019-04-23,601.2,605.95,576.75,580.45,580.45,3281951.0
3210,2019-04-22,590.0,603.0,583.55,601.2,601.2,2264556.0
3209,2019-04-18,600.0,603.7,585.5,588.25,588.25,1731483.0
3208,2019-04-16,598.0,603.0,594.4,596.9,596.9,1295156.0
3207,2019-04-15,606.0,608.7,592.0,594.15,594.15,1346350.0
3206,2019-04-12,602.0,605.0,595.8,602.45,602.45,1568928.0
3205,2019-04-11,597.45,606.5,591.0,599.25,599.25,2135526.0
3204,2019-04-10,609.7,618.0,594.0,596.4,596.4,2412038.0
3203,2019-04-09,625.45,627.95,604.35,610.6,610.6,2343318.0
3202,2019-04-08,636.7,643.9,622.55,626.95,626.95,1576961.0
3201,2019-04-05,629.8,640.6,629.5,638.55,638.55,1516938.0
3200,2019-04-04,630.0,639.9,623.0,627.4,627.4,1684174.0
3199,2019-04-03,641.4,641.8,626.25,630.5,630.5,2692539.0
3198,2019-04-02,627.55,650.7,620.0,641.8,641.8,3404619.0
3197,2019-04-01,630.0,637.9,621.55,629.5,629.5,2112250.0
3196,2019-03-28,587.4,610.0,587.4,606.05,606.05,2830495.0
3195,2019-03-27,587.0,601.7,586.0,589.25,589.25,2146256.0
3194,2019-03-26,583.0,591.95,581.05,584.8,584.8,1545521.0
3193,2019-03-25,584.85,590.9,572.4,579.85,579.85,2348575.0
3192,2019-03-22,620.9,620.9,589.45,596.05,596.05,2108088.0
3191,2019-03-20,621.0,621.05,612.0,616.55,616.55,1434900.0
3190,2019-03-19,622.9,630.55,616.5,621.55,619.05,1994472.0
3189,2019-03-18,623.65,626.55,613.05,620.45,617.9545,1376894.0
3188,2019-03-15,617.4,630.75,610.2,617.5,615.0163,3455081.0
3187,2019-03-14,614.0,623.65,603.05,614.65,612.1778,2126244.0
3186,2019-03-13,619.45,621.75,609.0,612.55,610.0862,1481513.0
3185,2019-03-12,618.55,625.75,613.3,617.55,615.0661,2240423.0
3184,2019-03-11,604.7,620.0,597.2,616.85,614.3689,3036038.0
3183,2019-03-08,614.85,620.2,591.3,595.65,593.2542,2779842.0
3182,2019-03-07,622.0,626.95,610.65,613.7,611.2316,1821986.0
3181,2019-03-06,625.0,633.75,615.4,621.75,619.2492,2974338.0
3180,2019-03-05,617.0,627.9,613.1,625.8,623.2829,2057760.0
3179,2019-03-01,605.0,618.0,605.0,615.9,613.4228,2541891.0
3178,2019-02-28,595.25,611.8,587.5,608.25,605.8035,3597384.0
3177,2019-02-27,608.95,617.65,590.0,593.7,591.3121,4387981.0
3176,2019-02-26,584.0,615.9,571.1,605.2,602.7658,4706171.0
3175,2019-02-25,589.0,594.6,581.6,587.05,584.6888,1982254.0
3174,2019-02-22,588.0,598.5,582.3,585.9,583.5435,3254462.0
3173,2019-02-21,565.0,592.0,562.1,587.6,585.2366,2753833.0
3172,2019-02-20,561.1,572.4,556.2,567.25,564.9684,2587436.0
3171,2019-02-19,545.0,563.45,537.2,557.65,555.407,3001178.0
3170,2019-02-18,543.85,554.35,540.5,545.5,543.3059,2613726.0
3169,2019-02-15,576.1,578.05,538.55,547.0,544.7999,3895244.0
3168,2019-02-14,554.4,587.0,544.8,579.1,574.2808,4102027.0
3167,2019-02-12,570.25,578.5,558.0,560.8,556.1331,4646752.0
3166,2019-02-11,550.0,576.7,535.3,574.05,569.2728,12331734.0
3165,2019-02-08,534.8,535.6,518.0,521.0,516.6643,1606621.0
3164,2019-02-07,541.0,550.0,530.0,532.35,527.9198,1745074.0
3163,2019-02-06,523.35,547.9,516.6,543.55,539.0266,1734832.0
3162,2019-02-05,523.15,528.65,513.1,522.0,517.656,1066230.0
3161,2019-02-04,530.7,532.3,514.75,524.1,519.7385,1014065.0
3160,2019-02-01,530.0,547.3,523.5,532.15,527.7216,1629734.0
3159,2019-01-31,534.0,536.8,520.15,530.1,525.6886,1704334.0
3158,2019-01-30,530.2,541.15,525.4,533.65,529.2091,1604734.0
3157,2019-01-29,529.1,541.7,521.0,533.45,529.0107,2410506.0
3156,2019-01-28,511.0,543.5,493.4,532.35,527.9198,4524193.0
3155,2019-01-25,530.25,536.6,486.55,505.85,501.6404,3808529.0
3154,2019-01-24,530.75,539.65,521.5,527.0,522.6144,2113026.0
3153,2019-01-23,521.45,536.9,520.1,529.45,525.044,3412724.0
