,Date,Open,High,Low,Close,Adj Close,Volume
3880,2019-06-14,270.3,270.3,263.55,266.0,266.0,102149.0
3879,2019-06-13,270.0,270.7,266.0,269.95,269.95,123870.0
3878,2019-06-12,270.65,273.5,269.2,271.5,271.5,65741.0
3877,2019-06-11,274.9,274.9,271.95,273.0,273.0,82676.0
3876,2019-06-10,273.0,274.0,270.0,273.15,273.15,103870.0
3875,2019-06-07,271.0,275.0,265.5,272.05,272.05,150751.0
3874,2019-06-06,271.5,275.0,267.0,270.8,270.8,121373.0
3873,2019-06-04,270.25,276.3,269.25,273.3,273.3,97854.0
3872,2019-06-03,271.95,274.7,268.4,272.2,272.2,113824.0
3871,2019-05-31,279.45,282.3,270.25,272.3,272.3,169586.0
3870,2019-05-30,269.9,283.4,267.7,277.45,277.45,534834.0
3869,2019-05-29,266.9,269.8,264.5,268.65,268.65,95932.0
3868,2019-05-28,273.5,276.5,264.6,266.35,266.35,157421.0
3867,2019-05-27,271.0,275.0,270.1,272.65,272.65,248799.0
3866,2019-05-24,261.9,270.5,260.8,267.95,267.95,288584.0
3865,2019-05-23,252.05,267.0,252.05,259.5,259.5,253623.0
3864,2019-05-22,253.4,255.15,249.1,250.65,250.65,130361.0
3863,2019-05-21,255.0,257.65,252.0,253.4,253.4,110922.0
3862,2019-05-20,260.0,261.0,252.1,253.95,253.95,158413.0
3861,2019-05-17,254.85,257.25,251.2,255.05,255.05,177197.0
3860,2019-05-16,252.8,259.0,249.6,255.65,255.65,122237.0
3859,2019-05-15,255.45,258.4,251.1,252.8,252.8,68287.0
3858,2019-05-14,254.0,257.4,249.0,255.05,255.05,140144.0
3857,2019-05-13,258.0,261.9,254.0,254.1,254.1,105546.0
3856,2019-05-10,258.2,261.0,254.0,259.15,259.15,88696.0
3855,2019-05-09,254.25,260.0,253.1,259.35,259.35,155304.0
3854,2019-05-08,256.75,260.0,252.55,256.3,256.3,192435.0
3853,2019-05-07,261.1,263.4,248.0,256.75,256.75,305850.0
3852,2019-05-06,260.0,263.35,258.0,260.6,260.6,111723.0
3851,2019-05-03,263.2,265.75,261.05,263.0,263.0,102479.0
3850,2019-05-02,264.0,266.95,260.55,264.55,264.55,107230.0
3849,2019-04-30,266.5,266.55,259.5,264.9,264.9,123818.0
3848,2019-04-26,263.0,273.5,261.35,265.1,265.1,324453.0
3847,2019-04-25,266.1,267.25,262.15,262.95,262.95,108714.0
3846,2019-04-24,264.5,267.95,263.45,266.75,266.75,132349.0
3845,2019-04-23,267.0,269.95,261.4,263.8,263.8,426964.0
3844,2019-04-22,272.25,272.25,263.05,266.8,266.8,468947.0
3843,2019-04-18,270.0,280.65,260.0,272.3,272.3,553761.0
3842,2019-04-16,273.0,274.95,268.6,270.75,270.75,255924.0
3841,2019-04-15,271.95,273.8,269.1,270.7,270.7,303411.0
3840,2019-04-12,271.55,272.8,268.0,269.45,269.45,188670.0
3839,2019-04-11,269.0,274.0,268.8,271.55,271.55,555612.0
3838,2019-04-10,268.8,271.45,266.0,267.95,267.95,331288.0
3837,2019-04-09,269.4,273.0,266.35,269.1,269.1,739344.0
3836,2019-04-08,263.65,275.5,262.95,268.15,268.15,1302271.0
3835,2019-04-05,256.9,263.15,256.1,262.35,262.35,490923.0
3834,2019-04-04,262.0,266.55,255.0,256.3,256.3,881029.0
3833,2019-04-03,261.6,263.2,254.0,255.0,255.0,166657.0
3832,2019-04-02,261.1,265.4,260.35,261.8,261.8,110064.0
3831,2019-04-01,263.0,267.9,262.0,262.65,262.65,189399.0
3830,2019-03-28,266.8,267.8,261.25,261.85,261.85,174617.0
3829,2019-03-27,266.0,270.0,263.85,266.75,266.75,415530.0
3828,2019-03-26,262.25,268.3,262.25,264.55,264.55,361861.0
3827,2019-03-25,255.0,263.3,252.3,260.55,260.55,500962.0
3826,2019-03-22,259.5,261.25,254.2,255.55,255.55,134733.0
3825,2019-03-20,256.85,259.85,254.0,258.5,258.5,278648.0
3824,2019-03-19,255.75,261.5,254.1,255.65,255.65,368030.0
3823,2019-03-18,248.1,257.8,246.95,255.75,255.75,493553.0
3822,2019-03-15,253.5,260.4,246.0,249.05,249.05,359938.0
3821,2019-03-14,249.0,254.8,246.35,251.4,251.4,269263.0
3820,2019-03-13,261.1,262.0,249.0,250.05,250.05,324939.0
3819,2019-03-12,269.0,269.85,260.0,261.05,261.05,290916.0
3818,2019-03-11,267.1,272.15,266.0,267.95,267.95,530358.0
3817,2019-03-08,268.0,271.8,263.45,265.25,265.25,749464.0
3816,2019-03-07,252.0,273.3,250.5,266.45,266.45,1645991.0
3815,2019-03-06,256.0,258.5,249.0,251.55,251.55,266268.0
3814,2019-03-05,249.7,255.0,248.15,253.3,253.3,453310.0
3813,2019-03-01,242.1,247.0,241.35,245.9,245.9,322268.0
3812,2019-02-28,239.75,243.5,238.5,240.85,240.85,117877.0
3811,2019-02-27,239.0,245.5,234.0,239.75,239.75,352090.0
3810,2019-02-26,231.4,241.95,228.05,238.05,238.05,477118.0
3809,2019-02-25,236.7,237.15,231.5,233.7,233.7,169348.0
3808,2019-02-22,235.4,239.2,232.4,234.6,234.6,282978.0
3807,2019-02-21,221.25,236.2,219.5,233.75,233.75,467648.0
3806,2019-02-20,221.65,226.5,220.5,221.2,221.2,227054.0
3805,2019-02-19,224.7,227.7,220.55,221.45,221.45,131160.0
3804,2019-02-18,221.95,227.8,218.0,224.95,224.95,209739.0
3803,2019-02-15,225.3,228.75,219.15,221.9,221.9,196390.0
3802,2019-02-14,232.0,233.65,223.6,225.95,225.95,206142.0
3801,2019-02-12,227.45,239.15,226.5,237.1,235.6,672390.0
3800,2019-02-11,233.75,233.75,224.15,225.6,224.1728,388896.0
3799,2019-02-08,230.1,237.4,230.1,233.8,232.3209,605568.0
3798,2019-02-07,220.1,230.5,220.1,228.95,227.5016,673434.0
3797,2019-02-06,205.0,224.8,202.8,219.4,218.012,1063916.0
3796,2019-02-05,200.25,208.0,200.25,204.95,203.6534,498106.0
3795,2019-02-04,194.0,202.0,193.9,200.35,199.0825,342247.0
3794,2019-02-01,194.0,195.0,191.65,193.6,192.3752,108582.0
3793,2019-01-31,193.75,196.45,188.15,193.6,192.3752,217423.0
3792,2019-01-30,193.1,198.45,191.55,192.9,191.6796,250726.0
3791,2019-01-29,186.0,194.5,185.0,193.05,191.8287,272786.0
3790,2019-01-28,194.0,196.8,182.7,186.6,185.4195,310679.0
3789,2019-01-25,202.7,205.0,191.1,194.15,192.9217,393294.0
3788,2019-01-24,204.7,207.8,200.0,202.5,201.2189,217527.0
3787,2019-01-23,210.55,212.9,201.4,203.75,202.461,195547.0
3786,2019-01-22,212.5,216.45,208.3,210.85,209.5161,156931.0
3785,2019-01-21,218.0,219.1,209.0,213.0,211.6525,213945.0
3784,2019-01-18,219.5,220.35,217.0,217.8,216.4221,154896.0
3783,2019-01-17,219.5,223.55,217.4,218.35,216.9686,241846.0
3782,2019-01-16,220.0,225.65,217.0,218.6,217.217,960217.0
3781,2019-01-15,219.0,221.8,217.0,218.55,217.1674,273441.0
3780,2019-01-14,223.0,224.45,217.0,218.2,216.8196,193283.0
3779,2019-01-11,228.5,229.2,223.95,224.55,223.1294,172851.0
3778,2019-01-10,225.4,228.9,224.0,226.5,225.0671,136917.0
3777,2019-01-09,229.9,231.05,222.45,225.25,223.825,140178.0
3776,2019-01-08,230.0,232.8,228.0,229.25,227.7997,156310.0
3775,2019-01-07,234.95,235.9,229.1,230.6,229.1411,163368.0
3774,2019-01-04,233.55,237.45,232.0,233.0,231.5259,135329.0
3773,2019-01-03,235.05,238.95,232.0,234.45,232.9668,134310.0
3772,2019-01-02,230.4,239.7,228.95,236.0,234.507,392417.0
3771,2019-01-01,226.2,234.0,226.2,232.2,230.731,222176.0
