,Date,Open,High,Low,Close,Adj Close,Volume
3369,2019-06-14,4.25,4.35,4.05,4.1,4.1,29424908.0
3368,2019-06-13,4.4,4.4,4.15,4.35,4.35,29048688.0
3367,2019-06-12,4.8,4.85,4.4,4.45,4.45,55604428.0
3366,2019-06-11,4.65,4.95,4.1,4.8,4.8,66267875.0
3365,2019-06-10,5.3,5.35,3.9,4.65,4.65,113780378.0
3364,2019-06-07,5.35,5.45,5.1,5.2,5.2,29292725.0
3363,2019-06-06,5.45,5.65,5.1,5.35,5.35,49038653.0
3362,2019-06-04,5.45,5.7,5.4,5.45,5.45,32476660.0
3361,2019-06-03,5.45,5.55,5.45,5.5,5.5,20948731.0
3360,2019-05-31,5.7,5.75,5.4,5.45,5.45,47375453.0
3359,2019-05-30,5.4,5.9,5.35,5.75,5.75,86059979.0
3358,2019-05-29,5.55,5.55,5.3,5.4,5.4,37469511.0
3357,2019-05-28,5.7,5.75,5.45,5.55,5.55,65691355.0
3356,2019-05-27,5.7,6.0,5.6,5.75,5.75,50684110.0
3355,2019-05-24,5.4,5.85,5.3,5.7,5.7,50964615.0
3354,2019-05-23,5.9,6.0,5.3,5.4,5.4,60686895.0
3353,2019-05-22,5.55,5.7,5.35,5.6,5.6,38095157.0
3352,2019-05-21,5.95,6.25,5.45,5.55,5.55,60889892.0
3351,2019-05-20,5.4,6.0,5.4,5.85,5.85,51633140.0
3350,2019-05-17,5.25,5.35,5.1,5.25,5.25,21771994.0
3349,2019-05-16,5.25,5.4,5.05,5.25,5.25,40670425.0
3348,2019-05-15,5.85,5.85,5.15,5.25,5.25,55249058.0
3347,2019-05-14,5.55,5.95,5.3,5.7,5.7,44908956.0
3346,2019-05-13,6.4,6.45,5.45,5.6,5.6,57902707.0
3345,2019-05-10,5.55,6.5,5.45,6.4,6.4,64347710.0
3344,2019-05-09,5.9,5.9,5.3,5.65,5.65,72276025.0
3343,2019-05-08,6.3,6.3,5.9,5.95,5.95,35330394.0
3342,2019-05-07,6.6,6.7,6.25,6.35,6.35,41794171.0
3341,2019-05-06,6.55,6.75,6.5,6.6,6.6,24268490.0
3340,2019-05-03,6.75,6.9,6.7,6.75,6.75,18824714.0
3339,2019-05-02,6.85,6.9,6.65,6.75,6.75,29175208.0
3338,2019-04-30,7.2,7.3,6.75,6.85,6.85,50560864.0
3337,2019-04-26,7.15,7.45,6.9,7.2,7.2,55267106.0
3336,2019-04-25,7.05,7.5,7.0,7.15,7.15,82657791.0
3335,2019-04-24,7.35,7.5,7.0,7.25,7.25,93457701.0
3334,2019-04-23,6.85,7.45,6.5,7.2,7.2,74534510.0
3333,2019-04-22,7.0,7.05,6.7,6.8,6.8,39757472.0
3332,2019-04-18,7.4,7.5,7.0,7.1,7.1,57947740.0
3331,2019-04-16,7.45,7.7,7.25,7.35,7.35,54595890.0
3330,2019-04-15,7.3,7.95,7.25,7.35,7.35,102485277.0
3329,2019-04-12,6.8,7.45,6.7,7.2,7.2,79853687.0
3328,2019-04-11,6.7,6.85,6.5,6.7,6.7,37075826.0
3327,2019-04-10,6.75,6.9,6.65,6.7,6.7,34913965.0
3326,2019-04-09,6.7,6.8,6.55,6.7,6.7,30706298.0
3325,2019-04-08,6.75,6.95,6.55,6.65,6.65,29894635.0
3324,2019-04-05,6.75,6.8,6.55,6.7,6.7,27988903.0
3323,2019-04-04,6.5,6.85,6.2,6.7,6.7,94931087.0
3322,2019-04-03,6.85,7.2,6.45,6.5,6.5,101907257.0
3321,2019-04-02,6.2,7.0,6.1,6.8,6.8,166698464.0
3320,2019-04-01,6.25,6.45,6.0,6.2,6.2,65780016.0
3319,2019-03-28,6.65,6.75,6.4,6.5,6.5,63757781.0
3318,2019-03-27,6.7,6.85,6.6,6.65,6.65,80841567.0
3317,2019-03-26,6.5,6.95,6.4,6.65,6.65,116759228.0
3316,2019-03-25,6.6,6.65,6.35,6.45,6.45,66138750.0
3315,2019-03-22,6.9,7.05,6.6,6.7,6.7,94744499.0
3314,2019-03-20,6.95,7.05,6.65,6.9,6.9,65113857.0
3313,2019-03-19,7.2,7.25,6.9,7.0,7.0,59062584.0
3312,2019-03-18,6.85,7.25,6.8,7.1,7.1,96725019.0
3311,2019-03-15,7.05,7.1,6.7,6.8,6.8,58678228.0
3310,2019-03-14,6.95,7.2,6.8,7.05,7.05,100737809.0
3309,2019-03-13,7.2,7.25,6.7,6.8,6.8,94057245.0
3308,2019-03-12,7.45,7.6,7.0,7.2,7.2,95583518.0
3307,2019-03-11,7.35,7.8,7.3,7.4,7.4,121971137.0
3306,2019-03-08,6.9,7.65,6.6,7.3,7.3,223909559.0
3305,2019-03-07,7.9,7.9,6.8,6.9,6.9,202605456.0
3304,2019-03-06,7.7,8.4,7.55,7.9,7.9,252786629.0
3303,2019-03-05,6.0,7.6,5.95,7.45,7.45,244785748.0
3302,2019-03-01,5.8,6.0,5.75,5.95,5.95,47308179.0
3301,2019-02-28,5.55,5.95,5.55,5.75,5.75,73738268.0
3300,2019-02-27,5.4,6.1,5.35,5.5,5.5,107411843.0
3299,2019-02-26,5.35,5.65,5.2,5.35,5.35,73337677.0
3298,2019-02-25,5.8,6.05,5.1,5.65,5.65,194987410.0
3297,2019-02-22,4.6,6.0,4.5,5.75,5.75,200370841.0
3296,2019-02-21,3.7,4.6,3.6,4.45,4.45,73864633.0
3295,2019-02-20,3.55,3.75,3.55,3.7,3.7,13720587.0
3294,2019-02-19,3.45,3.6,3.4,3.55,3.55,18779498.0
3293,2019-02-18,3.45,3.6,3.35,3.45,3.45,30809316.0
3292,2019-02-15,3.5,3.5,3.35,3.45,3.45,19021094.0
3291,2019-02-14,3.4,3.55,3.25,3.5,3.5,30219473.0
3290,2019-02-12,3.45,3.65,3.3,3.45,3.45,29672745.0
3289,2019-02-11,3.8,3.8,3.2,3.45,3.45,29913592.0
3288,2019-02-08,3.9,3.9,3.6,3.7,3.7,32899222.0
3287,2019-02-07,3.9,4.1,3.85,3.95,3.95,27799260.0
3286,2019-02-06,3.7,4.05,3.4,3.85,3.85,69167359.0
3285,2019-02-05,4.75,4.75,2.75,3.6,3.6,184031592.0
3284,2019-02-04,4.9,4.9,4.65,4.75,4.75,22092957.0
3283,2019-02-01,4.8,5.05,4.75,4.9,4.9,34746141.0
3282,2019-01-31,5.0,5.0,4.55,4.7,4.7,42599703.0
3281,2019-01-30,4.95,5.05,4.9,5.0,5.0,13420926.0
3280,2019-01-29,4.95,5.0,4.9,4.95,4.95,6796335.0
3279,2019-01-28,5.1,5.1,4.8,4.95,4.95,22110865.0
3278,2019-01-25,5.15,5.2,5.0,5.05,5.05,12922568.0
3277,2019-01-24,5.15,5.2,5.1,5.15,5.15,6256463.0
3276,2019-01-23,5.2,5.25,5.1,5.15,5.15,11668259.0
3275,2019-01-22,5.25,5.25,5.15,5.2,5.2,17568765.0
3274,2019-01-21,5.25,5.3,5.2,5.25,5.25,13015541.0
3273,2019-01-18,5.3,5.35,5.2,5.25,5.25,17363199.0
3272,2019-01-17,5.35,5.35,5.25,5.3,5.3,19148504.0
3271,2019-01-16,5.3,5.4,5.25,5.3,5.3,17125160.0
3270,2019-01-15,5.3,5.4,5.2,5.3,5.3,14019108.0
3269,2019-01-14,5.35,5.35,5.25,5.3,5.3,13049474.0
3268,2019-01-11,5.45,5.45,5.3,5.35,5.35,16471318.0
3267,2019-01-10,5.35,5.5,5.3,5.45,5.45,16730278.0
3266,2019-01-09,5.4,5.4,5.2,5.35,5.35,15578959.0
3265,2019-01-08,5.35,5.4,5.3,5.35,5.35,13516880.0
3264,2019-01-07,5.5,5.55,5.3,5.35,5.35,23677578.0
3263,2019-01-04,5.35,5.5,5.15,5.45,5.45,34650602.0
3262,2019-01-03,5.4,5.4,5.3,5.3,5.3,9656839.0
3261,2019-01-02,5.45,5.45,5.3,5.35,5.35,13545713.0
3260,2019-01-01,5.45,5.5,5.35,5.45,5.45,9806032.0
3259,2018-12-31,5.4,5.45,5.4,5.4,5.4,6991627.0
3258,2018-12-28,5.45,5.5,5.4,5.45,5.45,10142569.0
3257,2018-12-27,5.5,5.5,5.4,5.45,5.45,23710659.0
3256,2018-12-26,5.5,5.55,5.25,5.45,5.45,20696414.0
3255,2018-12-24,5.5,5.55,5.45,5.5,5.5,17164683.0
3254,2018-12-21,5.45,5.65,5.45,5.5,5.5,24299900.0
3253,2018-12-20,5.4,5.55,5.35,5.5,5.5,29154873.0
