,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,34.9,35.7,34.55,35.15,35.15,6193514.0
4223,2019-06-13,34.8,35.05,33.85,34.85,34.85,6078497.0
4222,2019-06-12,34.4,35.2,34.05,34.8,34.8,4393417.0
4221,2019-06-11,33.65,34.65,33.3,34.5,34.5,6669043.0
4220,2019-06-10,34.25,34.75,33.25,33.75,33.75,6413845.0
4219,2019-06-07,34.25,35.15,33.4,33.95,33.95,14284866.0
4218,2019-06-06,37.0,37.1,33.55,34.05,34.05,14833559.0
4217,2019-06-04,35.8,37.9,35.65,36.75,36.75,10208536.0
4216,2019-06-03,35.75,36.05,34.9,35.9,35.9,4539799.0
4215,2019-05-31,36.4,36.4,34.6,35.5,35.5,8748860.0
4214,2019-05-30,36.0,36.3,35.3,35.75,35.75,4988885.0
4213,2019-05-29,36.75,36.75,35.65,35.8,35.8,5757704.0
4212,2019-05-28,37.15,37.4,36.2,36.4,36.4,6044186.0
4211,2019-05-27,36.1,37.5,35.85,36.95,36.95,7756685.0
4210,2019-05-24,34.3,36.1,34.25,35.9,35.9,6174244.0
4209,2019-05-23,35.9,36.75,33.65,34.1,34.1,10429190.0
4208,2019-05-22,34.1,34.95,33.5,34.7,34.7,5363104.0
4207,2019-05-21,35.55,35.55,33.6,34.05,34.05,6501578.0
4206,2019-05-20,34.0,35.1,33.3,35.0,35.0,7560076.0
4205,2019-05-17,32.55,32.8,31.6,32.15,32.15,6858051.0
4204,2019-05-16,33.1,33.35,32.1,32.5,32.5,6330392.0
4203,2019-05-15,34.3,34.6,32.8,33.0,33.0,6038003.0
4202,2019-05-14,34.2,34.75,33.15,34.2,34.2,9063585.0
4201,2019-05-13,38.4,38.6,33.1,34.55,34.55,20508230.0
4200,2019-05-10,36.8,38.3,36.7,37.95,37.95,11559425.0
4199,2019-05-09,36.2,37.0,35.9,36.75,36.75,5555084.0
4198,2019-05-08,36.15,36.85,35.75,36.3,36.3,8783785.0
4197,2019-05-07,36.75,37.75,35.9,36.15,36.15,7086552.0
4196,2019-05-06,37.1,37.3,36.2,36.4,36.4,3057633.0
4195,2019-05-03,37.4,37.9,37.1,37.3,37.3,3547137.0
4194,2019-05-02,37.3,38.35,36.95,37.1,37.1,7149303.0
4193,2019-04-30,40.45,40.45,37.35,37.6,37.6,7921066.0
4192,2019-04-26,39.2,40.8,38.45,40.35,40.35,6332335.0
4191,2019-04-25,39.8,40.15,38.95,39.1,39.1,4529089.0
4190,2019-04-24,39.15,39.9,38.35,39.55,39.55,4047576.0
4189,2019-04-23,39.65,39.9,38.65,38.9,38.9,4981842.0
4188,2019-04-22,40.5,40.5,39.05,39.25,39.25,3891947.0
4187,2019-04-18,41.5,41.75,40.05,40.6,40.6,5569079.0
4186,2019-04-16,41.9,42.25,41.3,41.5,41.5,3563229.0
4185,2019-04-15,42.65,42.8,41.65,41.75,41.75,4231401.0
4184,2019-04-12,41.65,42.5,41.3,42.4,42.4,4405402.0
4183,2019-04-11,42.2,42.25,41.05,41.6,41.6,4079067.0
4182,2019-04-10,42.6,43.1,41.6,41.85,41.85,5303751.0
4181,2019-04-09,41.75,42.9,41.0,42.6,42.6,7420508.0
4180,2019-04-08,42.75,43.4,41.15,41.7,41.7,7082593.0
4179,2019-04-05,43.55,43.9,41.85,42.45,42.45,7663286.0
4178,2019-04-04,43.4,44.2,42.4,43.25,43.25,8583609.0
4177,2019-04-03,45.7,45.95,42.6,43.05,43.05,9307479.0
4176,2019-04-02,44.6,46.6,43.6,45.2,45.2,15608562.0
4175,2019-04-01,43.3,46.0,43.3,44.35,44.35,11460634.0
4174,2019-03-28,40.8,43.4,40.2,42.9,42.9,12854410.0
4173,2019-03-27,40.6,40.9,39.9,40.6,40.6,7099169.0
4172,2019-03-26,38.6,40.5,38.6,40.15,40.15,5252436.0
4171,2019-03-25,38.2,38.8,37.55,38.6,38.6,3526652.0
4170,2019-03-22,40.25,40.45,38.1,38.6,38.6,5303874.0
4169,2019-03-20,39.75,40.4,36.4,40.05,40.05,4967531.0
4168,2019-03-19,39.75,40.45,39.2,39.95,39.95,8759095.0
4167,2019-03-18,38.5,39.65,38.1,39.45,39.45,4124121.0
4166,2019-03-15,39.1,39.6,38.2,38.45,38.45,4361712.0
4165,2019-03-14,39.0,39.2,38.2,38.9,38.9,4236110.0
4164,2019-03-13,38.35,39.2,37.5,38.95,38.95,5166264.0
4163,2019-03-12,39.25,39.4,38.0,38.4,38.4,5002763.0
4162,2019-03-11,37.4,38.8,36.5,38.6,38.6,5212655.0
4161,2019-03-08,37.5,38.0,36.75,37.05,37.05,4515977.0
4160,2019-03-07,36.55,38.1,36.0,37.5,37.5,6742810.0
4159,2019-03-06,37.2,37.6,36.25,36.75,36.75,4807721.0
4158,2019-03-05,35.7,37.75,35.7,37.25,37.25,5175901.0
4157,2019-03-01,33.6,35.9,33.6,35.7,35.7,7248087.0
4156,2019-02-28,33.2,33.65,32.8,33.45,33.45,2054988.0
4155,2019-02-27,32.9,33.8,32.6,33.0,33.0,4198338.0
4154,2019-02-26,33.0,33.05,31.65,32.65,32.65,3275814.0
4153,2019-02-25,33.35,33.8,33.0,33.1,33.1,2394555.0
4152,2019-02-22,33.0,33.65,32.75,33.35,33.35,2236631.0
4151,2019-02-21,33.75,34.25,32.5,33.2,33.2,6512053.0
4150,2019-02-20,31.55,32.3,31.45,32.1,32.1,3001919.0
4149,2019-02-19,30.95,31.95,30.95,31.4,31.4,2665066.0
4148,2019-02-18,31.25,31.8,30.55,30.95,30.95,2582886.0
4147,2019-02-15,32.5,32.5,31.05,31.25,31.25,3128852.0
4146,2019-02-14,31.75,32.6,31.15,32.35,32.35,3216732.0
4145,2019-02-12,32.7,33.95,32.1,32.35,32.35,4418529.0
4144,2019-02-11,33.35,33.35,32.2,32.55,32.55,2846894.0
4143,2019-02-08,35.45,35.45,33.0,33.4,33.4,6459631.0
4142,2019-02-07,35.2,36.2,34.9,35.6,35.6,3197150.0
4141,2019-02-06,35.3,35.75,34.7,35.45,35.45,4374165.0
4140,2019-02-05,36.75,36.85,35.15,35.65,35.65,3568932.0
4139,2019-02-04,37.6,37.7,35.9,36.65,36.65,8848309.0
4138,2019-02-01,37.05,38.4,36.5,37.3,37.3,6898256.0
4137,2019-01-31,36.75,37.4,36.2,36.9,36.9,4560390.0
4136,2019-01-30,35.3,37.7,35.2,36.55,36.55,6256215.0
4135,2019-01-29,34.6,35.7,34.3,35.3,35.3,3136292.0
4134,2019-01-28,34.95,35.1,34.2,34.55,34.55,4146527.0
4133,2019-01-25,35.75,35.85,34.55,34.9,34.9,3223568.0
4132,2019-01-24,35.6,36.0,35.15,35.55,35.55,4427381.0
4131,2019-01-23,36.8,37.1,35.5,35.75,35.75,4685680.0
4130,2019-01-22,36.75,37.1,36.35,36.9,36.9,3263201.0
4129,2019-01-21,38.0,38.05,36.9,37.15,37.15,3612665.0
4128,2019-01-18,39.5,39.5,37.6,37.8,37.8,4498325.0
4127,2019-01-17,39.8,40.0,39.15,39.55,39.55,2084653.0
4126,2019-01-16,39.3,40.2,39.25,39.8,39.8,2668694.0
4125,2019-01-15,39.75,39.9,39.0,39.2,39.2,2317130.0
4124,2019-01-14,39.4,39.85,38.75,39.55,39.55,3193716.0
4123,2019-01-11,40.6,40.95,39.25,39.55,39.55,3412178.0
4122,2019-01-10,40.5,41.1,40.0,40.45,40.45,2655663.0
4121,2019-01-09,41.2,41.75,40.0,40.7,40.7,5476691.0
4120,2019-01-08,39.95,41.8,39.5,41.6,41.6,4628941.0
4119,2019-01-07,41.3,41.5,39.6,39.75,39.75,7054851.0
4118,2019-01-04,38.8,40.9,38.6,40.6,40.6,5976140.0
4117,2019-01-03,39.1,39.3,38.5,38.8,38.8,3158445.0
4116,2019-01-02,40.0,40.1,38.6,39.15,39.15,4955011.0
4115,2019-01-01,39.5,39.9,39.15,39.8,39.8,2970372.0
4114,2018-12-31,39.7,39.9,38.8,39.3,39.3,5333761.0
4113,2018-12-28,38.4,39.65,38.2,39.5,39.5,6391151.0
4112,2018-12-27,38.5,38.75,37.75,38.05,38.05,7292225.0
4111,2018-12-26,37.6,38.1,36.55,37.85,37.85,4249280.0
4110,2018-12-24,37.75,38.1,37.25,37.65,37.65,3699248.0
4109,2018-12-21,38.1,38.1,36.95,37.75,37.75,6307117.0
4108,2018-12-20,37.5,38.5,37.1,37.45,37.45,8271311.0
4107,2018-12-19,35.6,37.8,35.25,37.6,37.6,9525314.0
4106,2018-12-18,34.25,35.6,33.9,35.4,35.4,5662945.0
4105,2018-12-17,34.55,34.65,34.15,34.3,34.3,1902335.0
4104,2018-12-14,34.3,34.6,34.1,34.45,34.45,3039371.0
4103,2018-12-13,34.1,34.4,33.5,33.95,33.95,3093029.0
4102,2018-12-12,32.3,34.1,31.65,33.8,33.8,8596667.0
4101,2018-12-11,30.25,31.7,30.1,31.4,31.4,2816942.0
4100,2018-12-10,31.15,31.3,30.4,30.9,30.9,1661091.0
4099,2018-12-07,32.35,32.5,31.2,31.5,31.5,2448420.0
4098,2018-12-06,33.65,33.75,32.1,32.25,32.25,3168328.0
4097,2018-12-05,34.0,34.4,33.5,33.65,33.65,3725350.0
4096,2018-12-04,35.2,35.5,34.5,34.6,34.6,1869106.0
4095,2018-12-03,35.0,35.55,34.55,35.1,35.1,1776410.0
