,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,628.0,637.95,625.25,628.0,628.0,427924.0
4873,2019-06-13,627.9,634.3,624.0,631.35,631.35,385216.0
4872,2019-06-12,635.95,636.8,625.0,627.3,627.3,484896.0
4871,2019-06-11,626.0,641.0,622.3,636.8,636.8,395816.0
4870,2019-06-10,629.3,634.35,622.95,627.25,627.25,328531.0
4869,2019-06-07,621.0,630.55,621.0,628.55,628.55,334864.0
4868,2019-06-06,626.35,632.45,619.25,624.0,624.0,582988.0
4867,2019-06-04,633.0,645.0,625.3,630.95,630.95,1069302.0
4866,2019-06-03,632.0,642.75,629.0,630.65,630.65,545320.0
4865,2019-05-31,634.7,638.5,628.55,631.1,631.1,899278.0
4864,2019-05-30,636.0,640.55,629.0,633.05,633.05,618231.0
4863,2019-05-29,647.8,649.9,632.55,635.15,635.15,445031.0
4862,2019-05-28,637.0,648.65,631.1,645.4,645.4,730089.0
4861,2019-05-27,629.0,637.4,626.9,635.85,635.85,699736.0
4860,2019-05-24,617.0,629.8,617.0,628.35,628.35,499812.0
4859,2019-05-23,625.5,631.7,611.0,616.35,616.35,603604.0
4858,2019-05-22,616.5,629.95,616.45,622.5,622.5,1078562.0
4857,2019-05-21,611.4,619.05,599.15,616.4,616.4,1640493.0
4856,2019-05-20,626.1,635.0,607.0,609.45,609.45,1988897.0
4855,2019-05-17,604.0,624.2,600.5,619.75,619.75,3411734.0
4854,2019-05-16,562.0,607.95,553.05,603.6,603.6,9149206.0
4853,2019-05-15,578.6,578.6,555.3,556.8,556.8,478228.0
4852,2019-05-14,575.0,581.5,565.5,574.1,574.1,519519.0
4851,2019-05-13,590.95,592.55,570.15,574.9,574.9,596008.0
4850,2019-05-10,589.75,594.65,589.0,590.0,590.0,333536.0
4849,2019-05-09,589.0,596.5,585.05,589.0,589.0,375776.0
4848,2019-05-08,594.05,601.0,584.25,590.25,590.25,578846.0
4847,2019-05-07,604.0,611.3,592.05,596.0,596.0,1523112.0
4846,2019-05-06,562.0,610.4,561.75,605.2,605.2,6516899.0
4845,2019-05-03,575.0,577.8,552.3,556.5,556.5,1964046.0
4844,2019-05-02,574.0,585.3,570.05,576.5,576.5,382360.0
4843,2019-04-30,583.0,583.6,564.35,577.15,577.15,479083.0
4842,2019-04-26,574.0,582.2,572.5,580.4,580.4,508646.0
4841,2019-04-25,582.0,583.1,570.7,572.2,572.2,846268.0
4840,2019-04-24,584.9,586.9,575.8,582.75,582.75,650403.0
4839,2019-04-23,587.0,589.7,581.1,584.15,584.15,625215.0
4838,2019-04-22,597.0,597.0,584.05,587.65,587.65,427935.0
4837,2019-04-18,612.25,612.25,590.7,597.7,597.7,720334.0
4836,2019-04-16,611.4,619.4,610.0,612.25,612.25,375355.0
4835,2019-04-15,607.55,615.5,604.4,610.75,610.75,329856.0
4834,2019-04-12,603.15,611.0,601.05,607.4,607.4,429029.0
4833,2019-04-11,610.0,613.85,603.75,605.7,605.7,352027.0
4832,2019-04-10,605.15,614.65,600.65,611.3,611.3,634722.0
4831,2019-04-09,611.95,612.25,604.0,608.6,608.6,409881.0
4830,2019-04-08,608.5,614.0,602.0,611.95,611.95,825462.0
4829,2019-04-05,609.0,612.0,601.3,606.95,606.95,939917.0
4828,2019-04-04,590.15,608.0,588.2,604.8,604.8,1157381.0
4827,2019-04-03,599.8,603.9,588.75,590.95,590.95,957591.0
4826,2019-04-02,583.15,598.8,583.15,595.45,595.45,784210.0
4825,2019-04-01,593.95,599.0,582.6,584.1,584.1,675754.0
4824,2019-03-28,584.0,589.4,578.2,587.25,587.25,601657.0
4823,2019-03-27,584.35,585.0,577.0,583.5,583.5,975539.0
