,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,253.0,254.85,246.1,247.05,247.05,1913522.0
4873,2019-06-13,255.2,255.9,251.15,253.85,253.85,1232895.0
4872,2019-06-12,254.8,257.45,253.25,255.15,255.15,2028664.0
4871,2019-06-11,253.45,256.7,250.6,255.35,255.35,2440220.0
4870,2019-06-10,257.0,259.05,250.65,252.7,252.7,3098985.0
4869,2019-06-07,251.5,259.85,247.65,257.0,257.0,6012221.0
4868,2019-06-06,253.0,257.4,246.75,252.5,252.5,5822991.0
4867,2019-06-04,244.6,258.7,244.0,253.45,253.45,10943654.0
4866,2019-06-03,245.0,247.4,242.3,244.95,244.95,3279574.0
4865,2019-05-31,237.0,246.25,235.35,244.0,244.0,6568324.0
4864,2019-05-30,234.1,238.15,233.0,236.85,236.85,1442935.0
4863,2019-05-29,236.9,239.9,232.4,234.35,234.35,2445735.0
4862,2019-05-28,235.4,243.75,233.75,237.3,237.3,4121336.0
4861,2019-05-27,237.2,237.5,232.25,233.4,233.4,1832951.0
4860,2019-05-24,230.7,236.4,227.9,234.9,234.9,2395433.0
4859,2019-05-23,238.0,238.0,229.2,230.3,227.8,3287277.0
4858,2019-05-22,233.0,236.0,230.15,234.05,231.5093,3274093.0
4857,2019-05-21,235.0,237.0,229.7,232.5,229.9761,4396346.0
4856,2019-05-20,239.8,241.95,231.5,235.85,233.2898,7507001.0
4855,2019-05-17,220.0,238.3,218.6,235.4,232.8446,17955568.0
4854,2019-05-16,207.0,223.0,197.15,220.8,218.4031,27398307.0
4853,2019-05-15,202.3,204.9,198.1,199.25,197.0871,2581825.0
4852,2019-05-14,202.0,204.9,197.25,200.25,198.0762,4190535.0
4851,2019-05-13,197.25,204.3,197.0,199.85,197.6806,2827684.0
4850,2019-05-10,198.6,201.4,197.55,198.5,196.3452,1246805.0
4849,2019-05-09,199.3,200.95,195.1,198.6,196.4441,1365985.0
4848,2019-05-08,200.0,202.25,198.25,199.45,197.2849,1452184.0
4847,2019-05-07,203.1,206.0,198.8,199.75,197.5816,1453939.0
4846,2019-05-06,202.9,206.0,202.05,202.65,200.4502,1068557.0
4845,2019-05-03,205.9,207.45,203.35,204.0,201.7855,1639544.0
4844,2019-05-02,208.1,210.05,205.05,206.3,204.0605,2271545.0
4843,2019-04-30,211.0,213.05,207.3,209.2,206.929,2370602.0
4842,2019-04-26,213.0,216.9,209.7,213.2,210.8856,2510185.0
4841,2019-04-25,209.4,212.85,207.3,211.2,208.9073,3228599.0
4840,2019-04-24,204.0,211.95,200.65,208.9,206.6323,9668429.0
4839,2019-04-23,209.8,210.85,204.0,209.6,207.3247,3217791.0
4838,2019-04-22,208.15,213.45,208.0,209.35,207.0774,2003793.0
4837,2019-04-18,215.7,216.8,207.3,208.85,206.5829,2818804.0
4836,2019-04-16,217.4,217.4,214.55,215.7,213.3585,1143488.0
4835,2019-04-15,216.45,218.7,213.9,216.65,214.2982,2673514.0
4834,2019-04-12,215.95,217.25,213.05,215.15,212.8145,2620746.0
4833,2019-04-11,208.7,215.25,208.6,214.6,212.2704,2439649.0
4832,2019-04-10,208.1,211.9,207.75,208.8,206.5334,1142036.0
4831,2019-04-09,211.9,211.9,207.95,210.25,207.9677,827540.0
4830,2019-04-08,212.0,214.7,210.0,211.7,209.4019,1557504.0
4829,2019-04-05,211.4,215.5,210.05,211.3,209.0063,2761691.0
4828,2019-04-04,208.4,212.4,205.65,211.35,209.0557,2089235.0
4827,2019-04-03,212.65,213.2,207.35,208.35,206.0883,2330970.0
4826,2019-04-02,208.0,214.7,207.55,211.9,209.5997,3913611.0
4825,2019-04-01,204.55,209.3,204.2,208.1,205.841,1915582.0
4824,2019-03-28,197.5,200.55,196.75,198.95,196.7903,1586111.0
4823,2019-03-27,196.5,200.2,195.1,196.6,194.4658,1962815.0
4822,2019-03-26,195.65,197.5,194.05,196.05,193.9218,1154541.0
4821,2019-03-25,195.0,199.5,193.6,196.65,194.5153,1658129.0
4820,2019-03-22,199.3,201.85,195.2,195.75,193.6251,1298095.0
4819,2019-03-20,203.85,204.0,197.15,198.1,195.9496,2158406.0
4818,2019-03-19,200.55,205.5,200.3,203.3,201.0931,1792277.0
4817,2019-03-18,204.9,205.0,198.55,200.25,198.0762,1608207.0
4816,2019-03-15,207.4,208.6,202.35,203.2,200.9942,2025761.0
4815,2019-03-14,204.0,211.8,203.0,206.2,203.9616,6563662.0
4814,2019-03-13,205.95,208.75,202.25,202.85,200.648,2690181.0
4813,2019-03-12,204.45,206.2,203.15,204.9,202.6757,1991333.0
4812,2019-03-11,192.05,203.0,192.05,202.5,200.3018,3592265.0
4811,2019-03-08,196.0,197.6,192.6,193.2,191.1027,1542933.0
4810,2019-03-07,198.8,199.9,196.15,196.6,194.4658,933729.0
4809,2019-03-06,198.5,203.25,196.1,197.95,195.8012,1716592.0
4808,2019-03-05,197.6,199.9,196.6,197.55,195.4055,1910560.0
4807,2019-03-01,194.0,197.85,193.2,197.3,195.1582,1292085.0
4806,2019-02-28,192.4,195.0,191.55,193.7,191.5973,1090108.0
4805,2019-02-27,192.0,195.0,190.1,192.7,190.6082,1816786.0
4804,2019-02-26,189.75,192.25,185.35,191.65,189.5696,1271388.0
4803,2019-02-25,190.1,193.2,188.55,191.1,189.0255,1373833.0
4802,2019-02-22,190.0,192.05,188.05,189.25,187.1956,1243941.0
4801,2019-02-21,188.0,194.9,187.55,190.65,188.5804,2511829.0
4800,2019-02-20,184.5,189.3,184.5,188.7,186.6516,993170.0
4799,2019-02-19,182.6,188.8,182.25,184.5,182.4972,984628.0
4798,2019-02-18,186.15,186.5,181.5,182.75,180.7662,1026852.0
4797,2019-02-15,191.0,191.0,184.2,186.15,184.1293,1624523.0
4796,2019-02-14,183.15,190.4,182.95,188.9,186.8494,997833.0
4795,2019-02-12,179.05,189.0,178.6,186.55,184.5249,2805228.0
4794,2019-02-11,185.9,186.0,177.05,179.75,177.7988,3460117.0
4793,2019-02-08,190.0,191.5,184.4,185.7,183.6842,1280248.0
4792,2019-02-07,188.3,192.45,186.65,191.1,189.0255,1968302.0
