,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,167.5,167.5,163.5,164.2,164.2,10919644.0
4873,2019-06-13,166.9,168.9,164.5,167.4,167.4,15144260.0
4872,2019-06-12,170.9,172.2,168.1,169.05,169.05,12819208.0
4871,2019-06-11,166.85,171.9,165.65,170.75,170.75,20363493.0
4870,2019-06-10,170.9,172.05,163.55,166.2,166.2,20209862.0
4869,2019-06-07,169.9,171.7,167.25,169.5,169.5,14465703.0
4868,2019-06-06,174.05,175.85,168.85,169.7,169.7,16874819.0
4867,2019-06-04,174.25,177.2,172.4,173.25,173.25,17428731.0
4866,2019-06-03,170.5,175.0,168.4,174.5,174.5,21288078.0
4865,2019-05-31,177.8,177.85,170.0,172.6,172.6,21488115.0
4864,2019-05-30,177.5,178.5,173.1,175.15,175.15,18078726.0
4863,2019-05-29,179.85,180.0,175.35,176.35,176.35,15222008.0
4862,2019-05-28,181.35,185.3,179.8,180.25,180.25,23272915.0
4861,2019-05-27,181.75,183.5,179.3,181.35,181.35,14774311.0
4860,2019-05-24,177.0,183.5,175.35,182.3,182.3,22494409.0
4859,2019-05-23,182.85,182.85,173.5,175.15,175.15,22912106.0
4858,2019-05-22,177.6,180.4,174.8,179.1,179.1,25845734.0
4857,2019-05-21,185.25,186.9,174.05,176.8,176.8,57822527.0
4856,2019-05-20,181.45,192.0,179.25,190.15,190.15,29873588.0
4855,2019-05-17,174.95,177.7,170.2,176.85,176.85,21575989.0
4854,2019-05-16,176.0,177.55,172.8,175.4,175.4,30308248.0
4853,2019-05-15,185.55,185.95,167.4,169.45,169.45,31427815.0
4852,2019-05-14,178.25,186.05,177.8,184.5,184.5,21412933.0
4851,2019-05-13,186.2,187.15,179.6,180.75,180.75,15373536.0
4850,2019-05-10,187.0,190.6,184.3,185.9,185.9,28910719.0
4849,2019-05-09,184.3,189.8,182.3,186.35,186.35,32841616.0
4848,2019-05-08,190.0,190.9,183.8,185.1,185.1,28443735.0
4847,2019-05-07,201.7,202.85,189.35,190.95,190.95,30516691.0
4846,2019-05-06,204.0,204.5,198.0,199.8,199.8,30117667.0
4845,2019-05-03,205.0,213.65,203.05,209.45,209.45,37153857.0
4844,2019-05-02,211.0,212.65,206.5,207.3,207.3,21986007.0
4843,2019-04-30,216.2,218.65,210.3,214.3,214.3,21289116.0
4842,2019-04-26,221.9,221.9,214.0,215.6,215.6,26038093.0
4841,2019-04-25,223.4,225.9,220.25,221.85,221.85,27132908.0
4840,2019-04-24,231.65,232.95,217.6,223.6,223.6,50317411.0
4839,2019-04-23,235.0,235.85,230.25,231.65,231.65,18975358.0
4838,2019-04-22,235.0,239.35,231.7,234.85,234.85,30282217.0
4837,2019-04-18,231.9,239.3,230.6,236.25,236.25,42451178.0
4836,2019-04-16,233.8,234.1,225.65,230.5,230.5,41653657.0
