,Date,Open,High,Low,Close,Adj Close,Volume
3158,2019-06-14,744.0,746.65,735.3,740.25,740.25,1347763.0
3157,2019-06-13,744.0,752.7,738.5,744.1,744.1,2385581.0
3156,2019-06-12,762.0,764.3,743.3,747.95,747.95,3056823.0
3155,2019-06-11,770.0,770.75,759.25,762.1,762.1,2069998.0
3154,2019-06-10,755.45,769.35,754.05,768.2,768.2,2539412.0
3153,2019-06-07,738.1,752.7,729.4,750.75,750.75,1569343.0
3152,2019-06-06,748.3,749.3,733.9,738.0,738.0,3225967.0
3151,2019-06-04,756.3,762.7,746.8,748.3,748.3,2332547.0
3150,2019-06-03,763.9,763.9,749.0,757.6,757.6,2826290.0
3149,2019-05-31,740.0,763.8,738.15,760.35,760.35,5503111.0
3148,2019-05-30,741.5,746.0,732.95,735.0,735.0,3367426.0
3147,2019-05-29,736.95,748.25,733.65,738.85,738.85,2058402.0
3146,2019-05-28,727.0,746.75,727.0,737.15,737.15,5583587.0
3145,2019-05-27,737.0,738.0,719.5,726.05,726.05,3672605.0
3144,2019-05-24,749.9,749.9,732.05,735.85,735.85,3591853.0
3143,2019-05-23,760.0,761.35,740.55,743.3,743.3,3764857.0
3142,2019-05-22,758.0,767.35,744.2,749.95,749.95,5888740.0
3141,2019-05-21,780.0,784.8,768.1,773.05,773.05,1669926.0
3140,2019-05-20,790.0,790.0,763.0,779.35,779.35,3754370.0
3139,2019-05-17,793.0,793.0,776.55,784.85,784.85,1608854.0
3138,2019-05-16,788.65,794.75,781.35,789.35,789.35,1233818.0
3137,2019-05-15,791.0,798.4,785.55,790.3,790.3,1662095.0
3136,2019-05-14,818.8,818.8,786.6,790.05,790.05,2701861.0
3135,2019-05-13,811.6,825.7,809.2,817.3,817.3,3719275.0
3134,2019-05-10,810.4,813.4,800.4,808.4,808.4,1429055.0
3133,2019-05-09,801.0,814.75,799.2,809.65,809.65,2024710.0
3132,2019-05-08,813.0,814.1,799.6,802.3,802.3,1270071.0
3131,2019-05-07,822.0,824.3,809.7,814.65,814.65,1810222.0
3130,2019-05-06,810.0,825.5,810.0,820.15,820.15,1247845.0
3129,2019-05-03,830.0,834.45,813.0,817.4,817.4,2329144.0
3128,2019-05-02,834.9,846.5,829.1,837.0,837.0,3241791.0
3127,2019-04-30,825.95,838.0,823.1,836.1,836.1,2783771.0
3126,2019-04-26,816.5,826.85,816.5,823.25,823.25,1996703.0
3125,2019-04-25,820.0,827.0,813.45,816.5,816.5,5447101.0
3124,2019-04-24,807.0,820.0,806.0,818.75,818.75,2710117.0
3123,2019-04-23,806.5,807.95,800.05,804.95,804.95,1214892.0
3122,2019-04-22,800.7,810.8,798.8,805.35,805.35,1833972.0
3121,2019-04-18,804.0,809.0,798.1,800.35,800.35,6307643.0
3120,2019-04-16,799.0,804.7,795.15,798.1,798.1,1868910.0
3119,2019-04-15,785.35,799.4,785.0,797.2,797.2,3317405.0
3118,2019-04-12,779.0,786.35,774.55,785.35,785.35,3162714.0
3117,2019-04-11,790.4,795.75,778.6,780.95,780.95,1854222.0
3116,2019-04-10,786.05,798.95,786.0,790.25,790.25,2497013.0
3115,2019-04-09,790.35,797.7,787.3,789.5,789.5,2128462.0
3114,2019-04-08,779.7,790.0,773.4,787.15,787.15,1368825.0
3113,2019-04-05,779.0,787.1,774.5,777.25,777.25,1367411.0
3112,2019-04-04,777.9,781.75,767.25,774.5,774.5,1751584.0
