,Date,Open,High,Low,Close,Adj Close,Volume
764,2019-06-14,480.0,481.8,472.4,479.1,479.1,8570.0
763,2019-06-13,480.15,484.3,465.0,480.7,480.7,13964.0
762,2019-06-12,490.0,490.0,476.85,480.45,480.45,3990.0
761,2019-06-11,467.6,488.0,465.0,485.9,485.9,19313.0
760,2019-06-10,467.0,470.7,464.95,466.45,466.45,11376.0
759,2019-06-07,472.0,472.0,463.0,466.1,466.1,13531.0
758,2019-06-06,467.0,480.65,464.65,471.95,471.95,13743.0
757,2019-06-04,468.0,484.45,467.95,473.5,473.5,10512.0
756,2019-06-03,479.8,479.8,468.5,471.0,471.0,11436.0
755,2019-05-31,485.8,489.9,471.05,474.0,474.0,7992.0
754,2019-05-30,460.55,488.5,460.55,485.8,485.8,19818.0
753,2019-05-29,472.0,478.0,462.7,474.6,474.6,26048.0
752,2019-05-28,468.0,487.5,465.05,468.7,468.7,16006.0
751,2019-05-27,470.0,471.0,459.95,465.4,465.4,42106.0
750,2019-05-24,438.6,470.15,438.6,462.75,462.75,46697.0
749,2019-05-23,441.0,449.0,438.55,442.3,442.3,39833.0
748,2019-05-22,450.3,457.8,436.0,438.4,438.4,153603.0
747,2019-05-21,434.7,457.0,426.35,449.95,449.95,405763.0
746,2019-05-20,448.4,451.0,425.05,434.7,434.7,44621.0
745,2019-05-17,429.0,452.0,429.0,443.95,443.95,17937.0
744,2019-05-16,441.0,445.55,427.0,431.45,431.45,13821.0
743,2019-05-15,458.0,458.0,440.0,440.9,440.9,13239.0
742,2019-05-14,455.3,455.95,436.1,443.8,443.8,38225.0
741,2019-05-13,460.7,464.45,455.15,455.3,455.3,12791.0
740,2019-05-10,465.95,465.95,455.0,459.95,459.95,119524.0
739,2019-05-09,466.0,468.0,455.65,457.85,457.85,12499.0
738,2019-05-08,484.25,484.25,462.95,464.85,464.85,30387.0
737,2019-05-07,489.0,492.0,485.1,486.4,486.4,6634.0
736,2019-05-06,489.9,489.9,480.1,485.15,485.15,4385.0
735,2019-05-03,484.05,492.5,479.1,485.25,485.25,85995.0
734,2019-05-02,493.9,495.1,481.15,484.0,484.0,21796.0
733,2019-04-30,491.3,495.55,488.2,491.9,491.9,11380.0
732,2019-04-26,500.05,502.95,490.1,491.3,491.3,26436.0
731,2019-04-25,499.0,509.7,495.95,500.7,500.7,16703.0
730,2019-04-24,498.0,500.0,491.5,499.0,499.0,9254.0
729,2019-04-23,499.85,504.25,491.25,493.95,493.95,15390.0
728,2019-04-22,512.5,515.35,494.0,495.95,495.95,60669.0
727,2019-04-18,521.9,521.9,507.0,511.75,511.75,18427.0
726,2019-04-16,519.9,519.9,515.0,516.7,516.7,19272.0
725,2019-04-15,522.0,531.25,514.0,515.85,515.85,80621.0
724,2019-04-12,519.8,522.75,516.0,520.4,520.4,10209.0
723,2019-04-11,519.85,526.0,518.0,519.8,519.8,23356.0
722,2019-04-10,521.25,527.6,519.0,519.85,519.85,21973.0
721,2019-04-09,534.9,534.9,520.6,521.2,521.2,17529.0
720,2019-04-08,536.05,540.75,527.1,529.65,529.65,9806.0
719,2019-04-05,525.05,542.35,521.0,535.95,535.95,27535.0
718,2019-04-04,534.0,536.0,522.6,524.45,524.45,16517.0
717,2019-04-03,534.0,542.0,527.0,529.85,529.85,8035.0
716,2019-04-02,532.8,544.0,527.55,532.95,532.95,15493.0
715,2019-04-01,528.1,539.65,525.0,527.6,527.6,11705.0
714,2019-03-28,520.1,526.3,520.05,523.75,523.75,10246.0
713,2019-03-27,520.05,530.0,518.05,519.85,519.85,19011.0
712,2019-03-26,545.95,545.95,516.0,519.7,519.7,39839.0
