,Date,Open,High,Low,Close,Adj Close,Volume
2963,2019-06-14,94.95,95.5,94.0,94.75,94.75,102683.0
2962,2019-06-13,96.6,99.4,94.2,95.1,95.1,132590.0
2961,2019-06-12,96.0,96.8,95.1,95.55,95.55,36016.0
2960,2019-06-11,96.1,97.5,95.9,96.3,96.3,85481.0
2959,2019-06-10,96.1,97.0,95.95,96.15,96.15,68762.0
2958,2019-06-07,98.9,98.9,95.0,96.35,96.35,157350.0
2957,2019-06-06,98.0,98.65,96.0,96.7,96.7,72633.0
2956,2019-06-04,99.0,100.0,97.0,97.65,97.65,104027.0
2955,2019-06-03,99.0,100.3,98.0,98.8,98.8,114236.0
2954,2019-05-31,98.0,101.8,97.95,100.2,100.2,292226.0
2953,2019-05-30,99.2,99.75,96.6,97.95,97.95,98958.0
2952,2019-05-29,102.25,102.25,97.7,98.45,98.45,220727.0
2951,2019-05-28,100.0,103.0,99.2,102.25,102.25,1203514.0
2950,2019-05-27,89.0,95.5,89.0,93.55,93.55,304005.0
2949,2019-05-24,87.8,88.35,86.2,87.45,87.45,139221.0
2948,2019-05-23,85.85,92.3,85.15,85.8,85.8,214367.0
2947,2019-05-22,87.7,88.1,84.5,85.55,85.55,111125.0
2946,2019-05-21,87.85,93.4,84.95,85.8,85.8,214899.0
2945,2019-05-20,81.0,92.0,79.9,88.85,88.85,1355109.0
2944,2019-05-17,78.0,80.4,77.0,77.8,77.8,111570.0
2943,2019-05-16,80.0,83.5,79.15,79.75,79.75,220574.0
2942,2019-05-15,75.25,81.95,75.0,79.7,79.7,1352151.0
2941,2019-05-14,76.95,77.25,73.75,74.45,74.45,164935.0
2940,2019-05-13,81.5,81.5,75.4,76.95,76.95,119562.0
2939,2019-05-10,81.05,83.3,79.5,80.0,80.0,93364.0
2938,2019-05-09,81.95,82.8,80.0,80.5,80.5,68120.0
2937,2019-05-08,84.9,85.7,81.5,81.9,81.9,87957.0
2936,2019-05-07,88.45,90.9,83.35,85.05,85.05,107778.0
2935,2019-05-06,86.0,88.45,85.55,87.65,87.65,80690.0
2934,2019-05-03,90.5,91.0,84.7,87.4,87.4,135693.0
2933,2019-05-02,90.55,91.95,90.0,90.15,90.15,103660.0
2932,2019-04-30,94.1,94.1,90.05,90.55,90.55,54981.0
2931,2019-04-26,93.05,94.8,92.8,93.75,93.75,48455.0
2930,2019-04-25,94.4,95.85,92.6,93.2,93.2,78084.0
2929,2019-04-24,94.05,95.5,94.05,94.75,94.75,61316.0
2928,2019-04-23,96.45,98.85,94.5,95.05,95.05,115474.0
2927,2019-04-22,96.95,96.95,94.05,94.65,94.65,77771.0
2926,2019-04-18,102.3,102.3,96.8,97.05,97.05,112732.0
2925,2019-04-16,99.15,102.35,98.9,101.25,101.25,222172.0
2924,2019-04-15,98.1,99.65,98.0,98.7,98.7,80143.0
2923,2019-04-12,95.95,98.5,95.1,97.6,97.6,115508.0
2922,2019-04-11,95.6,96.0,95.25,95.85,95.85,46584.0
2921,2019-04-10,95.5,96.7,94.9,95.15,95.15,90293.0
2920,2019-04-09,96.8,97.5,95.5,95.85,95.85,130782.0
2919,2019-04-08,99.75,101.7,94.05,96.2,96.2,161673.0
2918,2019-04-05,99.0,100.9,98.65,99.1,99.1,106346.0
2917,2019-04-04,99.05,101.2,98.1,98.75,98.75,106776.0
2916,2019-04-03,103.9,104.15,99.0,99.75,99.75,200378.0
2915,2019-04-02,107.15,107.3,102.5,103.35,103.35,215605.0
2914,2019-04-01,103.05,108.3,102.65,106.35,106.35,364181.0
2913,2019-03-28,105.35,106.9,102.75,103.75,103.75,188745.0
2912,2019-03-27,100.4,107.7,99.65,105.5,105.5,420270.0
2911,2019-03-26,101.3,101.55,99.5,99.85,99.85,95766.0
2910,2019-03-25,97.3,102.5,97.3,99.4,99.4,403409.0
2909,2019-03-22,102.9,103.0,99.4,99.8,99.8,132073.0
2908,2019-03-20,102.95,104.75,101.0,101.9,101.9,130264.0
2907,2019-03-19,102.85,104.95,100.05,102.95,102.95,163614.0
2906,2019-03-18,102.0,103.0,101.55,102.4,102.4,104279.0
2905,2019-03-15,102.0,103.9,100.95,101.4,101.4,111658.0
2904,2019-03-14,103.3,103.8,101.75,102.05,102.05,75446.0
2903,2019-03-13,105.45,106.0,102.05,102.8,102.8,143223.0
2902,2019-03-12,103.5,107.95,103.5,104.55,104.55,266966.0
2901,2019-03-11,103.65,106.75,102.0,102.7,102.7,167998.0
2900,2019-03-08,104.0,104.95,102.2,102.9,102.9,135599.0
2899,2019-03-07,105.95,108.7,102.6,104.9,104.9,359426.0
2898,2019-03-06,97.25,108.5,97.25,105.05,105.05,717237.0
2897,2019-03-05,90.5,98.35,90.0,97.15,97.15,585676.0
2896,2019-03-01,89.6,91.45,88.75,89.65,89.65,194111.0
2895,2019-02-28,88.8,92.4,87.5,88.35,88.35,195742.0
