,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,185.95,188.0,181.6,184.9,184.9,32923.0
4193,2019-06-13,184.85,185.1,179.5,184.4,184.4,25860.0
4192,2019-06-12,187.5,187.5,182.55,183.3,183.3,19793.0
4191,2019-06-11,191.0,191.1,183.0,185.4,185.4,28082.0
4190,2019-06-10,193.0,193.0,184.9,187.4,187.4,242607.0
4189,2019-06-07,189.0,191.75,187.3,189.75,189.75,19424.0
4188,2019-06-06,194.0,194.0,188.8,189.4,189.4,26725.0
4187,2019-06-04,197.2,197.2,192.0,192.7,192.7,33544.0
4186,2019-06-03,197.85,197.85,190.3,194.5,194.5,34370.0
4185,2019-05-31,202.9,203.05,192.95,194.8,194.8,41602.0
4184,2019-05-30,209.15,210.0,200.6,201.85,201.85,132495.0
4183,2019-05-29,204.9,209.5,200.3,204.05,204.05,81493.0
4182,2019-05-28,209.0,209.6,203.55,204.65,204.65,67689.0
4181,2019-05-27,198.1,209.0,197.55,207.7,207.7,156873.0
4180,2019-05-24,187.75,195.0,186.1,194.15,194.15,47968.0
4179,2019-05-23,183.9,191.0,183.0,185.55,185.55,31143.0
4178,2019-05-22,182.75,183.9,180.3,181.4,181.4,19482.0
4177,2019-05-21,185.45,186.7,180.05,181.6,181.6,22646.0
4176,2019-05-20,183.6,187.5,182.55,184.85,184.85,34621.0
4175,2019-05-17,184.95,186.05,177.6,179.0,179.0,60581.0
4174,2019-05-16,185.0,185.6,181.3,183.95,183.95,36855.0
4173,2019-05-15,183.0,185.65,180.45,183.1,183.1,41691.0
4172,2019-05-14,183.0,183.0,177.55,181.85,181.85,35314.0
4171,2019-05-13,186.0,186.0,179.1,181.5,181.5,51035.0
4170,2019-05-10,184.3,185.45,183.0,183.25,183.25,28908.0
4169,2019-05-09,181.2,185.15,180.25,184.55,184.55,36103.0
4168,2019-05-08,186.55,188.0,180.0,182.7,182.7,42806.0
4167,2019-05-07,188.0,191.0,185.4,186.55,186.55,34653.0
4166,2019-05-06,191.35,192.5,187.0,188.15,188.15,27160.0
4165,2019-05-03,194.5,197.3,190.15,191.35,191.35,42232.0
4164,2019-05-02,193.05,194.0,190.4,191.05,191.05,33842.0
4163,2019-04-30,201.55,201.55,192.45,194.0,194.0,39173.0
4162,2019-04-26,200.2,201.3,198.05,199.8,199.8,16012.0
4161,2019-04-25,202.95,203.0,199.6,200.05,200.05,18480.0
4160,2019-04-24,200.95,201.2,198.7,200.5,200.5,22712.0
4159,2019-04-23,201.05,204.0,199.45,200.7,200.7,27901.0
4158,2019-04-22,205.0,206.05,200.5,202.0,202.0,35898.0
4157,2019-04-18,208.05,210.1,205.0,206.1,206.1,27074.0
4156,2019-04-16,210.9,210.9,207.3,207.65,207.65,30678.0
4155,2019-04-15,209.1,211.6,207.6,208.1,208.1,45445.0
4154,2019-04-12,210.5,211.95,207.5,208.6,208.6,45785.0
4153,2019-04-11,211.0,211.6,208.2,210.6,210.6,45002.0
4152,2019-04-10,214.4,215.35,210.2,210.7,210.7,49907.0
4151,2019-04-09,210.3,223.8,210.25,215.5,215.5,281941.0
4150,2019-04-08,213.3,215.0,209.1,210.65,210.65,36924.0
4149,2019-04-05,212.0,212.6,208.2,211.05,211.05,28992.0
4148,2019-04-04,212.5,213.9,209.5,211.8,211.8,21548.0
4147,2019-04-03,215.45,215.5,210.05,210.5,210.5,32912.0
4146,2019-04-02,217.65,219.95,212.25,213.2,213.2,176684.0
4145,2019-04-01,207.95,217.0,206.8,215.1,215.1,88481.0
4144,2019-03-28,207.6,210.0,205.1,205.8,205.8,34039.0
4143,2019-03-27,208.6,210.8,205.5,207.0,207.0,48523.0
4142,2019-03-26,207.0,209.8,203.2,206.2,206.2,81738.0
4141,2019-03-25,212.3,212.3,206.5,206.9,206.9,34380.0
4140,2019-03-22,216.0,217.7,211.1,212.3,212.3,43305.0
4139,2019-03-20,216.0,218.9,214.3,215.4,215.4,114787.0
4138,2019-03-19,211.9,214.0,209.5,212.3,212.3,39348.0
4137,2019-03-18,211.7,212.7,207.5,209.6,209.6,84474.0
4136,2019-03-15,215.6,218.0,207.05,209.2,209.2,104976.0
4135,2019-03-14,222.5,222.85,214.05,215.0,215.0,67176.0
4134,2019-03-13,219.5,224.45,213.95,220.7,220.7,160096.0
4133,2019-03-12,221.9,224.55,218.2,218.75,218.75,107345.0
4132,2019-03-11,220.85,229.7,215.05,220.1,220.1,177487.0
4131,2019-03-08,208.85,226.0,208.1,220.1,220.1,401693.0
4130,2019-03-07,207.7,210.0,206.95,208.5,208.5,55244.0
4129,2019-03-06,206.9,212.95,203.35,206.85,206.85,125547.0
4128,2019-03-05,198.7,210.3,198.0,205.55,205.55,175600.0
4127,2019-03-01,189.55,199.0,188.4,197.9,197.9,234070.0
4126,2019-02-28,187.3,190.75,185.65,187.6,187.6,77172.0
4125,2019-02-27,188.75,191.45,185.0,186.1,186.1,99122.0
4124,2019-02-26,188.1,190.3,186.65,187.4,187.4,93656.0
4123,2019-02-25,190.5,192.2,187.8,188.05,188.05,93387.0
4122,2019-02-22,189.0,190.95,187.95,190.1,190.1,88542.0
4121,2019-02-21,189.55,191.5,186.5,188.6,188.6,83164.0
4120,2019-02-20,193.7,193.8,188.05,189.1,189.1,63789.0
4119,2019-02-19,192.5,196.45,190.05,191.2,191.2,64676.0
4118,2019-02-18,196.6,196.6,188.0,191.95,191.95,492708.0
4117,2019-02-15,205.95,205.95,193.1,195.0,195.0,377643.0
4116,2019-02-14,194.0,213.45,192.3,206.65,206.65,406622.0
4115,2019-02-12,202.1,203.45,189.2,192.3,192.3,67387.0
4114,2019-02-11,208.0,208.55,200.1,201.9,201.9,122099.0
4113,2019-02-08,213.0,213.25,205.1,207.65,207.65,15611.0
4112,2019-02-07,205.0,213.0,205.0,211.75,211.75,18651.0
4111,2019-02-06,210.8,212.5,203.35,205.6,205.6,27527.0
4110,2019-02-05,208.3,210.85,206.3,210.35,210.35,39342.0
4109,2019-02-04,214.45,215.2,206.75,207.95,207.95,21858.0
4108,2019-02-01,221.0,222.0,209.15,212.2,212.2,42558.0
4107,2019-01-31,231.15,234.75,216.3,219.8,219.8,188787.0
4106,2019-01-30,231.65,235.0,227.0,228.3,228.3,51515.0
4105,2019-01-29,229.25,234.9,229.25,232.25,232.25,10933.0
4104,2019-01-28,229.0,230.7,229.0,230.2,230.2,31333.0
4103,2019-01-25,230.1,231.85,229.55,230.0,230.0,24665.0
4102,2019-01-24,229.0,231.6,228.55,230.1,230.1,36708.0
4101,2019-01-23,229.05,230.2,224.9,229.0,229.0,46717.0
4100,2019-01-22,237.95,237.95,228.95,230.05,230.05,42395.0
4099,2019-01-21,240.4,240.4,229.65,234.0,234.0,141365.0
4098,2019-01-18,239.55,241.95,236.95,239.45,239.45,47114.0
4097,2019-01-17,236.4,241.95,235.3,239.25,239.25,27430.0
4096,2019-01-16,239.35,241.15,232.55,235.0,235.0,131249.0
4095,2019-01-15,236.0,240.35,233.6,237.95,237.95,18740.0
4094,2019-01-14,233.05,237.55,232.3,235.15,235.15,27792.0
4093,2019-01-11,236.85,237.4,232.5,233.05,233.05,22943.0
4092,2019-01-10,240.15,240.7,233.7,236.45,236.45,27784.0
4091,2019-01-09,245.7,245.7,239.0,239.5,239.5,43192.0
4090,2019-01-08,246.0,247.4,242.15,243.5,243.5,26622.0
4089,2019-01-07,245.55,246.95,242.0,242.8,242.8,18475.0
4088,2019-01-04,245.55,247.4,242.3,244.1,244.1,15239.0
4087,2019-01-03,251.85,251.85,244.55,245.35,245.35,41366.0
4086,2019-01-02,256.25,257.85,250.05,250.85,250.85,48649.0
4085,2019-01-01,258.4,261.15,256.1,257.2,257.2,14964.0
4084,2018-12-31,255.8,259.8,254.8,257.4,257.4,40588.0
4083,2018-12-28,254.05,255.25,251.85,254.1,254.1,35540.0
4082,2018-12-27,256.6,257.7,249.7,252.05,252.05,152745.0
4081,2018-12-26,256.5,258.0,252.95,255.95,255.95,25715.0
4080,2018-12-24,257.5,258.15,253.95,255.7,255.7,22817.0
4079,2018-12-21,258.5,259.8,255.3,257.6,257.6,21340.0
4078,2018-12-20,257.9,261.3,256.1,257.75,257.75,23040.0
4077,2018-12-19,261.0,262.95,255.5,257.85,257.85,28569.0
4076,2018-12-18,257.8,263.5,256.3,260.15,260.15,51275.0
4075,2018-12-17,255.7,259.6,254.45,258.85,258.85,31111.0
4074,2018-12-14,252.2,258.0,251.45,255.05,255.05,120735.0
4073,2018-12-13,257.5,259.0,252.8,253.85,253.85,119237.0
4072,2018-12-12,248.2,257.15,248.2,255.5,255.5,209838.0
4071,2018-12-11,248.7,250.5,246.05,249.9,249.9,21134.0
4070,2018-12-10,248.0,250.4,243.15,248.7,248.7,58167.0
4069,2018-12-07,249.1,251.95,249.1,250.45,250.45,36695.0
4068,2018-12-06,248.8,252.45,247.2,250.05,250.05,44711.0
4067,2018-12-05,254.55,257.5,250.0,251.05,251.05,212100.0
4066,2018-12-04,250.0,252.5,249.0,250.35,250.35,40428.0
4065,2018-12-03,253.95,254.85,247.65,249.6,249.6,37747.0
4064,2018-11-30,248.75,258.0,248.75,252.05,252.05,143212.0
4063,2018-11-29,250.5,251.9,247.75,249.15,249.15,74096.0
4062,2018-11-28,248.65,252.55,246.55,247.65,247.65,89377.0
4061,2018-11-27,249.75,250.1,248.0,248.8,248.8,39415.0
4060,2018-11-26,249.25,252.0,247.0,249.7,249.7,57238.0
4059,2018-11-22,249.0,252.55,247.05,247.75,247.75,48089.0
4058,2018-11-21,247.0,252.7,243.05,247.2,247.2,55689.0
4057,2018-11-20,250.5,254.9,245.05,246.65,246.65,40721.0
4056,2018-11-19,253.5,256.05,250.0,250.8,250.8,29986.0
4055,2018-11-16,259.0,261.0,252.0,252.85,252.85,38314.0
4054,2018-11-15,265.95,268.0,257.55,258.55,258.55,55644.0
4053,2018-11-14,266.3,269.0,261.9,264.1,264.1,98972.0
4052,2018-11-13,268.65,268.65,256.5,264.35,264.35,432590.0
4051,2018-11-12,290.0,294.0,282.1,284.5,284.5,100610.0
4050,2018-11-09,281.4,289.9,279.0,288.4,288.4,141733.0
4049,2018-11-07,278.95,281.7,273.1,279.15,279.15,21815.0
4048,2018-11-06,277.25,281.0,274.2,276.55,276.55,49131.0
4047,2018-11-05,275.2,282.95,273.0,276.95,276.95,143902.0
4046,2018-11-02,278.2,295.0,267.3,272.2,272.2,424523.0
4045,2018-11-01,259.5,278.8,257.5,275.1,275.1,207421.0
4044,2018-10-31,254.0,259.0,253.2,258.05,258.05,32952.0
4043,2018-10-30,258.6,262.05,255.05,256.5,256.5,34570.0
4042,2018-10-29,248.9,270.2,248.9,258.25,258.25,122996.0
4041,2018-10-26,253.0,256.0,247.1,248.35,248.35,43141.0
4040,2018-10-25,252.0,252.7,247.0,250.5,250.5,47024.0
4039,2018-10-24,254.15,262.8,247.2,259.6,259.6,98521.0
4038,2018-10-23,257.0,262.0,248.0,250.05,250.05,54724.0
4037,2018-10-22,264.95,268.0,257.05,259.6,259.6,58856.0
4036,2018-10-19,254.0,261.0,251.15,259.2,259.2,33344.0
4035,2018-10-17,266.4,268.95,250.25,252.75,252.75,58471.0
4034,2018-10-16,263.95,272.6,263.0,266.35,266.35,67396.0
4033,2018-10-15,252.4,265.0,249.0,262.15,262.15,70828.0
4032,2018-10-12,243.4,253.25,242.1,249.75,249.75,102956.0
4031,2018-10-11,243.5,246.0,235.1,240.95,240.95,90004.0
4030,2018-10-10,233.9,252.75,231.1,249.85,249.85,99606.0
4029,2018-10-09,240.85,244.7,222.25,233.45,233.45,189185.0
4028,2018-10-08,248.0,253.75,235.8,238.0,238.0,67967.0
4027,2018-10-05,262.0,268.0,247.5,250.35,250.35,82137.0
4026,2018-10-04,266.0,270.0,260.05,264.8,264.8,37340.0
4025,2018-10-03,264.0,274.35,264.0,270.8,270.8,80176.0
4024,2018-10-01,260.0,266.0,247.6,260.85,260.85,80709.0
4023,2018-09-28,278.5,282.0,247.15,258.65,258.65,143266.0
4022,2018-09-27,281.1,284.2,274.9,278.4,278.4,48231.0
4021,2018-09-26,278.1,284.95,273.3,281.75,281.75,97870.0
4020,2018-09-25,275.9,286.1,270.05,277.15,277.15,152988.0
4019,2018-09-24,275.9,279.85,266.6,274.9,274.9,134542.0
4018,2018-09-21,286.9,291.0,266.0,270.3,270.3,244070.0
4017,2018-09-19,287.0,297.9,282.0,284.1,284.1,308242.0
4016,2018-09-18,286.5,294.3,286.05,286.8,286.8,76983.0
4015,2018-09-17,290.5,295.9,286.2,287.0,287.0,106532.0
4014,2018-09-14,292.65,298.85,289.25,291.15,291.15,187854.0
