,Date,Open,High,Low,Close,Adj Close,Volume
1881,2019-06-14,110.45,113.4,107.1,110.85,110.85,47460.0
1880,2019-06-13,111.45,112.7,110.05,110.45,110.45,16833.0
1879,2019-06-12,108.7,110.35,108.0,109.9,109.9,17720.0
1878,2019-06-11,107.15,110.0,106.5,107.55,107.55,8022.0
1877,2019-06-10,110.0,111.9,106.5,107.25,107.25,9150.0
1876,2019-06-07,111.0,114.45,107.55,108.45,108.45,23842.0
1875,2019-06-06,106.55,112.5,104.5,109.65,109.65,47948.0
1874,2019-06-04,109.0,109.0,106.15,106.45,106.45,17539.0
1873,2019-06-03,108.9,110.6,107.0,108.0,108.0,9336.0
1872,2019-05-31,110.9,111.0,106.05,108.7,108.7,9311.0
1871,2019-05-30,112.0,112.0,108.6,109.05,109.05,6210.0
1870,2019-05-29,110.95,113.0,108.45,111.05,111.05,39630.0
1869,2019-05-28,114.0,115.0,107.65,109.2,109.2,42721.0
1868,2019-05-27,110.5,112.4,107.5,109.3,109.3,23383.0
1867,2019-05-24,109.8,111.5,107.2,109.9,109.9,20860.0
1866,2019-05-23,108.55,113.15,107.05,107.65,107.65,37697.0
1865,2019-05-22,111.3,112.35,108.9,110.3,110.3,13038.0
1864,2019-05-21,115.0,118.0,109.05,109.9,109.9,36528.0
1863,2019-05-20,105.1,121.95,105.0,119.8,119.8,281213.0
1862,2019-05-17,101.8,104.05,101.1,103.5,103.5,14281.0
1861,2019-05-16,102.35,103.5,101.0,101.2,101.2,15766.0
1860,2019-05-15,104.05,105.0,101.85,102.1,102.1,9898.0
1859,2019-05-14,101.0,106.3,101.0,104.8,104.8,23586.0
1858,2019-05-13,101.05,103.4,100.0,101.7,101.7,11006.0
1857,2019-05-10,105.45,105.9,101.0,101.9,101.9,22202.0
1856,2019-05-09,103.3,104.85,103.1,103.95,103.95,8928.0
1855,2019-05-08,103.45,105.8,103.45,103.95,103.95,11418.0
1854,2019-05-07,105.9,105.9,103.1,104.05,104.05,8953.0
1853,2019-05-06,104.85,106.9,103.8,104.6,104.6,7555.0
1852,2019-05-03,105.3,106.45,105.0,105.65,105.65,22289.0
1851,2019-05-02,105.7,106.9,105.05,105.55,105.55,9185.0
1850,2019-04-30,109.4,109.4,105.0,105.1,105.1,18066.0
1849,2019-04-26,109.1,109.1,106.55,107.85,107.85,6718.0
1848,2019-04-25,110.5,110.5,107.25,107.8,107.8,9565.0
1847,2019-04-24,107.3,110.25,106.65,109.3,109.3,18151.0
1846,2019-04-23,107.45,109.5,106.0,106.95,106.95,17269.0
1845,2019-04-22,107.8,110.85,106.2,107.2,107.2,16206.0
1844,2019-04-18,111.0,111.0,107.0,107.55,107.55,13406.0
1843,2019-04-16,110.75,112.0,108.75,109.6,109.6,17951.0
1842,2019-04-15,110.85,114.45,109.5,109.9,109.9,74935.0
1841,2019-04-12,106.0,115.5,105.85,110.55,110.55,32550.0
1840,2019-04-11,108.1,109.0,105.05,106.0,106.0,24287.0
