,Date,Open,High,Low,Close,Adj Close,Volume
3891,2019-06-14,18.15,18.55,18.0,18.4,18.4,770533.0
3890,2019-06-13,18.2,18.35,17.85,18.2,18.2,461344.0
3889,2019-06-12,17.95,18.4,17.75,18.25,18.25,631640.0
3888,2019-06-11,17.15,18.0,17.15,17.95,17.95,486603.0
3887,2019-06-10,17.3,17.5,17.2,17.4,17.4,640089.0
3886,2019-06-07,17.4,17.6,17.2,17.4,17.4,289091.0
3885,2019-06-06,17.6,17.85,17.35,17.4,17.4,292526.0
3884,2019-06-04,17.3,17.85,17.25,17.75,17.75,388485.0
3883,2019-06-03,17.5,17.7,17.05,17.6,17.6,257049.0
3882,2019-05-31,17.7,17.8,17.4,17.45,17.45,503218.0
3881,2019-05-30,17.45,17.45,17.2,17.25,17.25,153223.0
3880,2019-05-29,17.6,17.6,17.15,17.3,17.3,224352.0
3879,2019-05-28,17.6,17.85,17.35,17.6,17.6,227464.0
3878,2019-05-27,17.55,17.75,17.25,17.6,17.6,262533.0
3877,2019-05-24,17.15,17.55,17.15,17.45,17.45,359952.0
3876,2019-05-23,17.55,18.0,16.95,17.1,17.1,505707.0
3875,2019-05-22,17.4,17.4,16.9,17.3,17.3,214686.0
3874,2019-05-21,17.55,17.6,17.15,17.25,17.25,313837.0
3873,2019-05-20,17.15,17.8,16.95,17.3,17.3,489886.0
3872,2019-05-17,16.75,16.9,16.5,16.55,16.55,371482.0
3871,2019-05-16,17.1,17.1,16.65,16.75,16.75,358419.0
3870,2019-05-15,17.5,17.85,16.8,16.9,16.9,669729.0
3869,2019-05-14,17.0,19.6,16.7,17.85,17.85,1668249.0
3868,2019-05-13,17.55,17.55,17.05,17.05,17.05,204275.0
3867,2019-05-10,17.25,17.7,17.1,17.45,17.45,388561.0
3866,2019-05-09,17.35,17.45,17.1,17.2,17.2,277038.0
3865,2019-05-08,17.8,17.8,17.3,17.45,17.45,243124.0
3864,2019-05-07,17.75,18.0,17.6,17.65,17.65,200985.0
3863,2019-05-06,18.0,18.0,17.65,17.75,17.75,161891.0
3862,2019-05-03,17.95,18.2,17.9,17.95,17.95,190496.0
3861,2019-05-02,18.0,18.6,17.65,17.95,17.95,424894.0
3860,2019-04-30,18.45,18.45,17.8,17.9,17.9,327922.0
3859,2019-04-26,18.5,18.55,18.3,18.35,18.35,244054.0
3858,2019-04-25,18.25,18.45,18.25,18.3,18.3,250854.0
3857,2019-04-24,18.35,18.45,18.1,18.2,18.2,360317.0
3856,2019-04-23,18.5,18.5,18.25,18.35,18.35,247976.0
3855,2019-04-22,18.5,18.55,18.25,18.3,18.3,312687.0
3854,2019-04-18,18.85,18.85,18.45,18.6,18.6,324203.0
3853,2019-04-16,18.8,19.2,18.65,18.7,18.7,522463.0
3852,2019-04-15,18.9,19.0,18.75,18.85,18.85,248139.0
3851,2019-04-12,18.6,18.85,18.6,18.7,18.7,193917.0
3850,2019-04-11,18.65,19.0,18.65,18.75,18.75,243647.0
3849,2019-04-10,18.85,19.0,18.7,18.8,18.8,299021.0
3848,2019-04-09,18.9,18.9,18.7,18.85,18.85,393362.0
3847,2019-04-08,19.0,19.2,18.85,18.9,18.9,391560.0
3846,2019-04-05,19.1,19.1,18.85,18.95,18.95,414357.0
3845,2019-04-04,19.0,19.2,18.9,18.95,18.95,559232.0
3844,2019-04-03,19.25,19.6,18.9,19.0,19.0,1047931.0
3843,2019-04-02,19.95,20.1,19.0,19.15,19.15,1930099.0
3842,2019-04-01,18.95,20.45,18.9,19.7,19.7,4422064.0
3841,2019-03-28,19.1,19.3,18.8,18.95,18.95,1549596.0
3840,2019-03-27,19.95,20.0,18.5,18.7,18.7,2565664.0
3839,2019-03-26,18.35,18.55,18.3,18.45,18.45,194043.0
3838,2019-03-25,18.5,18.5,18.25,18.35,18.35,227316.0
3837,2019-03-22,18.85,18.9,18.45,18.5,18.5,352775.0
3836,2019-03-20,18.9,19.05,18.65,18.75,18.75,301568.0
3835,2019-03-19,18.55,19.15,18.55,18.9,18.9,685973.0
3834,2019-03-18,18.5,18.75,18.3,18.5,18.5,547216.0
