,Date,Open,High,Low,Close,Adj Close,Volume
3663,2019-06-14,4559.0,4574.8999,4480.0,4501.75,4501.75,296843.0
3662,2019-06-13,4565.0,4579.4502,4543.1001,4570.2002,4570.2002,265302.0
3661,2019-06-12,4575.0,4596.0,4536.0,4569.1001,4569.1001,216496.0
3660,2019-06-11,4628.0,4628.0,4576.2998,4584.75,4584.75,270476.0
3659,2019-06-10,4584.7002,4620.1001,4561.1001,4597.8501,4597.8501,436601.0
3658,2019-06-07,4559.0,4649.0,4541.0498,4572.8501,4572.8501,491364.0
3657,2019-06-06,4692.5,4698.8501,4534.0,4571.2002,4571.2002,761710.0
3656,2019-06-04,4762.2998,4782.0,4675.1499,4692.0,4692.0,529891.0
3655,2019-06-03,4780.0,4792.7002,4730.0498,4762.2998,4762.2998,641635.0
3654,2019-05-31,4768.0,4777.0,4660.0,4760.1001,4760.1001,577772.0
3653,2019-05-30,4719.0,4771.0,4707.0498,4758.8999,4758.8999,767519.0
3652,2019-05-29,4774.0,4774.0,4703.0,4719.8501,4719.8501,318406.0
3651,2019-05-28,4848.5,4865.0,4752.7002,4772.9502,4772.9502,664517.0
3650,2019-05-27,4800.0,4904.9502,4752.0498,4841.0498,4841.0498,609904.0
3649,2019-05-24,4719.0,4817.7998,4660.2002,4800.1001,4800.1001,782474.0
3648,2019-05-23,4700.0,4884.0,4652.2998,4683.9502,4683.9502,971606.0
3647,2019-05-22,4662.7002,4673.6499,4592.0,4647.3501,4647.3501,608316.0
3646,2019-05-21,4789.0,4789.0,4618.0498,4639.75,4639.75,671297.0
3645,2019-05-20,4560.25,4807.6499,4558.1001,4774.2002,4774.2002,974132.0
3644,2019-05-17,4500.0,4508.8999,4435.0,4492.7998,4492.7998,513496.0
3643,2019-05-16,4345.0,4525.0,4322.0,4512.7998,4512.7998,613573.0
3642,2019-05-15,4447.7002,4447.7002,4324.1499,4342.3501,4342.3501,347949.0
3641,2019-05-14,4326.0,4460.0,4289.0498,4424.2998,4424.2998,617724.0
3640,2019-05-13,4425.0,4425.0,4320.0,4338.4502,4338.4502,408316.0
3639,2019-05-10,4508.7002,4508.7002,4422.6001,4434.25,4434.25,234079.0
3638,2019-05-09,4494.0,4523.9502,4455.2998,4478.3999,4478.3999,590574.0
3637,2019-05-08,4530.0,4550.0,4488.0,4507.6499,4507.6499,567034.0
3636,2019-05-07,4536.1001,4558.8501,4515.0498,4531.25,4531.25,625025.0
3635,2019-05-06,4500.0498,4560.0,4485.5498,4518.5498,4518.5498,488749.0
3634,2019-05-03,4620.5,4628.0,4552.0,4566.0,4566.0,411034.0
3633,2019-05-02,4615.0,4634.0,4574.1001,4616.2998,4616.2998,505389.0
3632,2019-04-30,4607.0,4649.0498,4554.3501,4616.7998,4616.7998,653730.0
3631,2019-04-26,4630.0,4637.6001,4562.7998,4609.9502,4609.9502,1004982.0
3630,2019-04-25,4450.5,4686.6001,4448.5,4619.0,4619.0,3326400.0
3629,2019-04-24,4156.2998,4432.0,4110.5,4394.6499,4394.6499,1985862.0
3628,2019-04-23,4212.0,4232.5498,4182.0498,4198.25,4198.25,316043.0
3627,2019-04-22,4235.0,4279.0,4180.0,4204.8501,4204.8501,182038.0
3626,2019-04-18,4279.7002,4279.7002,4220.0,4259.9502,4259.9502,210890.0
3625,2019-04-16,4229.6001,4285.0,4206.1001,4255.0498,4255.0498,269121.0
3624,2019-04-15,4179.7998,4234.2998,4158.0,4225.2998,4225.2998,295636.0
3623,2019-04-12,4150.1001,4196.8999,4137.0,4166.5,4166.5,397313.0
3622,2019-04-11,4140.0,4161.0,4093.8501,4140.1499,4140.1499,447838.0
3621,2019-04-10,4167.8999,4169.9502,4120.0,4131.0498,4131.0498,231779.0
3620,2019-04-09,4154.0,4174.6499,4107.4502,4163.2002,4163.2002,262712.0
3619,2019-04-08,4224.0,4235.4502,4136.0,4166.8501,4166.8501,789953.0
