,Date,Open,High,Low,Close,Adj Close,Volume
2773,2019-06-14,240.0,241.0,238.0,238.55,238.55,259105.0
2772,2019-06-13,241.5,241.8,237.0,240.8,240.8,418049.0
2771,2019-06-12,238.0,242.75,238.0,239.9,239.9,420482.0
2770,2019-06-11,242.75,244.9,240.75,242.0,242.0,501149.0
2769,2019-06-10,242.85,245.2,240.9,243.75,243.75,936700.0
2768,2019-06-07,237.8,247.1,234.75,243.7,243.7,2227646.0
2767,2019-06-06,242.9,243.9,237.25,238.25,238.25,917070.0
2766,2019-06-04,235.75,247.35,235.15,243.3,243.3,3165330.0
2765,2019-06-03,241.9,241.9,233.6,235.0,235.0,1055980.0
2764,2019-05-31,236.0,245.8,229.05,242.55,242.55,3043733.0
2763,2019-05-30,229.8,239.2,223.95,235.3,235.3,4205414.0
2762,2019-05-29,223.45,231.65,218.5,227.65,227.65,3611524.0
2761,2019-05-28,222.0,227.95,217.0,223.7,223.7,2707111.0
2760,2019-05-27,208.6,223.5,208.0,218.65,218.65,1525611.0
2759,2019-05-24,206.3,211.95,205.3,209.55,209.55,660276.0
2758,2019-05-23,207.6,212.0,204.45,206.35,206.35,390037.0
2757,2019-05-22,205.4,208.9,200.95,207.35,207.35,407388.0
2756,2019-05-21,208.5,209.7,204.55,205.6,205.6,276409.0
2755,2019-05-20,210.0,212.5,206.5,207.85,207.85,872308.0
2754,2019-05-17,203.45,207.75,203.25,206.8,206.8,207217.0
2753,2019-05-16,204.2,205.9,202.0,204.1,204.1,177445.0
2752,2019-05-15,206.1,209.2,202.3,203.9,203.9,209888.0
2751,2019-05-14,204.5,208.0,203.1,205.65,205.65,281475.0
2750,2019-05-13,207.7,208.8,205.05,205.65,205.65,257095.0
2749,2019-05-10,206.0,211.95,198.1,209.7,209.7,2122451.0
2748,2019-05-09,210.05,210.6,204.05,206.3,206.3,730557.0
2747,2019-05-08,211.35,213.45,208.4,210.55,210.55,275031.0
2746,2019-05-07,212.0,216.45,212.0,213.45,213.45,207316.0
2745,2019-05-06,214.05,218.2,210.1,212.95,212.95,574481.0
2744,2019-05-03,216.6,218.45,215.3,216.1,216.1,194542.0
2743,2019-05-02,216.1,220.7,215.85,217.25,217.25,435614.0
2742,2019-04-30,218.0,218.8,215.0,217.9,217.9,278897.0
2741,2019-04-26,220.6,221.45,217.2,218.5,218.5,258411.0
2740,2019-04-25,220.5,222.0,218.7,220.6,220.6,1133142.0
2739,2019-04-24,222.65,226.0,218.55,221.1,221.1,971090.0
2738,2019-04-23,221.95,223.2,219.2,221.05,221.05,389929.0
2737,2019-04-22,223.25,225.15,221.35,221.95,221.95,274849.0
2736,2019-04-18,227.2,228.0,224.25,225.55,225.55,374290.0
2735,2019-04-16,227.25,230.0,225.6,227.15,227.15,746653.0
2734,2019-04-15,223.0,231.75,222.45,227.05,227.05,2171572.0
2733,2019-04-12,220.5,223.25,220.3,222.4,222.4,305728.0
2732,2019-04-11,221.0,224.3,218.1,220.8,220.8,460272.0
2731,2019-04-10,218.5,222.45,217.5,220.6,220.6,333439.0
2730,2019-04-09,221.5,222.45,217.3,218.95,218.95,419237.0
2729,2019-04-08,223.9,225.4,219.75,221.3,221.3,622872.0
2728,2019-04-05,222.0,222.85,219.65,221.1,221.1,229814.0
2727,2019-04-04,223.4,223.7,220.3,221.95,221.95,475295.0
2726,2019-04-03,218.55,222.9,218.05,221.9,221.9,571365.0
2725,2019-04-02,222.5,223.85,216.9,218.5,218.5,681901.0
2724,2019-04-01,223.4,225.5,220.05,221.35,221.35,705755.0
2723,2019-03-28,224.95,230.4,220.0,221.5,221.5,2376088.0
2722,2019-03-27,217.15,224.5,215.0,223.7,223.7,1062063.0
2721,2019-03-26,214.95,218.8,214.1,217.4,217.4,449254.0
2720,2019-03-25,216.5,218.8,213.1,213.6,213.6,440347.0
2719,2019-03-22,219.8,222.45,216.65,218.15,218.15,750108.0
2718,2019-03-20,217.0,221.4,216.05,218.45,218.45,519704.0
2717,2019-03-19,217.2,219.0,215.8,217.1,217.1,424972.0
2716,2019-03-18,221.95,223.3,214.7,215.45,215.45,982713.0
2715,2019-03-15,215.0,225.0,215.0,220.7,220.7,3532381.0
2714,2019-03-14,220.0,220.45,210.0,214.95,214.95,1029245.0
2713,2019-03-13,221.0,223.25,218.15,220.1,220.1,547229.0
2712,2019-03-12,219.5,224.2,219.5,221.75,221.75,818300.0
2711,2019-03-11,213.0,220.0,213.0,219.45,219.45,564480.0
2710,2019-03-08,217.0,220.3,213.0,213.75,213.75,759072.0
2709,2019-03-07,218.0,220.45,216.5,217.45,217.45,510072.0
2708,2019-03-06,217.45,219.2,216.0,218.15,218.15,628028.0
2707,2019-03-05,211.0,217.7,208.3,217.15,217.15,1433611.0
2706,2019-03-01,206.0,212.9,202.85,211.6,211.6,1791083.0
2705,2019-02-28,195.7,210.7,195.7,205.15,205.15,3190623.0
2704,2019-02-27,195.4,200.4,193.25,197.1,197.1,964128.0
2703,2019-02-26,189.95,195.95,187.65,195.0,195.0,736455.0
2702,2019-02-25,191.0,193.55,190.55,191.7,191.7,455217.0
2701,2019-02-22,189.5,193.1,188.45,191.3,191.3,430505.0
2700,2019-02-21,187.0,191.7,186.95,190.3,190.3,687631.0
2699,2019-02-20,186.85,188.4,186.3,187.5,187.5,305225.0
2698,2019-02-19,186.6,189.5,185.7,186.55,186.55,696612.0
2697,2019-02-18,185.0,188.35,183.7,186.75,186.75,831485.0
2696,2019-02-15,185.0,187.9,183.4,185.35,185.35,795108.0
2695,2019-02-14,188.05,188.8,184.35,185.3,185.3,871188.0
2694,2019-02-12,195.0,195.9,191.6,193.95,193.95,646978.0
2693,2019-02-11,192.0,195.5,189.55,193.4,193.4,553360.0
2692,2019-02-08,191.95,193.75,189.9,191.85,191.85,380999.0
2691,2019-02-07,191.0,194.75,190.45,192.0,192.0,394944.0
2690,2019-02-06,194.15,195.3,189.1,190.6,190.6,635196.0
2689,2019-02-05,195.0,195.85,192.3,193.45,193.45,539114.0
2688,2019-02-04,198.0,198.25,192.2,195.5,195.5,1297551.0
2687,2019-02-01,197.05,202.95,195.2,199.3,199.3,1251284.0
2686,2019-01-31,208.1,208.95,191.0,196.65,196.65,3431289.0
2685,2019-01-30,201.0,207.95,199.6,206.8,206.8,1084758.0
2684,2019-01-29,200.25,203.35,199.0,200.3,200.3,360459.0
2683,2019-01-28,202.05,202.2,198.1,200.25,200.25,530032.0
2682,2019-01-25,204.4,205.2,199.0,201.95,201.95,796207.0
2681,2019-01-24,202.95,203.45,200.05,202.15,202.15,379131.0
2680,2019-01-23,202.0,204.6,199.3,202.2,202.2,570927.0
2679,2019-01-22,203.65,204.65,201.2,203.15,203.15,329372.0
2678,2019-01-21,207.7,207.7,201.5,203.65,203.65,881990.0
2677,2019-01-18,207.35,207.8,204.8,207.3,207.3,306847.0
2676,2019-01-17,207.5,207.5,203.55,206.9,206.9,311301.0
2675,2019-01-16,209.5,209.75,205.5,206.0,206.0,261383.0
2674,2019-01-15,207.0,209.8,205.5,208.25,208.25,491191.0
2673,2019-01-14,206.0,207.9,203.75,204.75,204.75,443512.0
2672,2019-01-11,207.8,209.2,205.25,206.65,206.65,344570.0
2671,2019-01-10,205.45,208.0,205.2,207.35,207.35,458021.0
2670,2019-01-09,208.95,214.0,204.4,205.45,205.45,1810454.0
2669,2019-01-08,208.0,209.3,200.45,208.45,208.45,2628117.0
2668,2019-01-07,219.6,221.0,206.6,208.25,208.25,1237404.0
2667,2019-01-04,217.05,219.8,214.3,217.05,217.05,638356.0
2666,2019-01-03,220.7,222.8,216.8,217.55,217.55,546650.0
2665,2019-01-02,227.0,228.4,220.35,222.0,222.0,463617.0
2664,2019-01-01,226.65,231.35,225.65,228.15,228.15,612575.0
2663,2018-12-31,229.0,231.9,227.0,228.15,228.15,446886.0
2662,2018-12-28,235.8,236.0,228.7,231.2,231.2,757693.0
2661,2018-12-27,227.0,237.0,225.15,234.0,234.0,1299684.0
2660,2018-12-26,233.45,233.7,221.55,226.6,226.6,1774473.0
2659,2018-12-24,229.8,234.45,225.7,232.85,232.85,2030489.0
2658,2018-12-21,224.8,228.25,221.9,226.7,226.7,1519765.0
2657,2018-12-20,224.0,227.0,221.55,224.6,224.6,782222.0
2656,2018-12-19,219.95,225.25,216.9,224.2,224.2,1160768.0
2655,2018-12-18,212.1,218.7,212.1,217.6,217.6,443058.0
2654,2018-12-17,216.85,218.35,213.1,214.45,214.45,333069.0
2653,2018-12-14,217.0,218.5,215.55,217.15,217.15,286967.0
2652,2018-12-13,221.0,221.9,216.2,217.85,217.85,486837.0
2651,2018-12-12,211.9,220.9,211.5,220.05,220.05,1141036.0
2650,2018-12-11,206.15,211.9,205.0,210.3,210.3,479133.0
2649,2018-12-10,208.1,212.4,208.1,209.15,209.15,672027.0
2648,2018-12-07,208.8,213.6,208.0,212.7,212.7,534171.0
2647,2018-12-06,209.75,211.35,208.0,208.4,208.4,397701.0
2646,2018-12-05,211.0,214.5,207.15,211.3,211.3,896584.0
2645,2018-12-04,211.5,214.0,208.6,212.4,212.4,502319.0
2644,2018-12-03,213.0,213.9,210.7,211.75,211.75,395425.0
2643,2018-11-30,209.6,213.3,208.65,210.6,210.6,563892.0
2642,2018-11-29,208.05,212.65,205.1,210.4,210.4,1152335.0
2641,2018-11-28,204.7,209.9,203.75,208.65,208.65,1524879.0
2640,2018-11-27,200.4,204.4,200.3,203.85,203.85,1668960.0
2639,2018-11-26,196.05,200.85,194.4,199.05,199.05,727393.0
2638,2018-11-22,192.2,197.45,191.55,195.9,195.9,807909.0
2637,2018-11-21,193.55,196.0,190.5,191.7,191.7,359305.0
2636,2018-11-20,196.4,199.5,192.0,193.05,193.05,827490.0
2635,2018-11-19,196.4,197.9,193.0,195.6,195.6,342454.0
2634,2018-11-16,195.95,200.0,194.15,195.55,195.55,942167.0
2633,2018-11-15,193.4,195.85,192.5,195.0,195.0,255327.0
2632,2018-11-14,191.5,196.7,189.1,193.35,193.35,449405.0
2631,2018-11-13,189.35,192.0,183.35,191.5,191.5,728864.0
2630,2018-11-12,195.5,197.0,191.55,191.95,191.95,199760.0
2629,2018-11-09,196.45,198.45,194.8,195.85,195.85,245022.0
2628,2018-11-07,197.0,197.85,196.0,196.45,196.45,63716.0
2627,2018-11-06,193.0,197.0,192.1,196.15,196.15,524751.0
2626,2018-11-05,193.55,195.8,191.2,194.0,194.0,538799.0
2625,2018-11-02,193.45,196.0,188.85,194.95,194.95,602468.0
2624,2018-11-01,188.5,194.5,188.0,191.1,191.1,991927.0
2623,2018-10-31,183.0,189.5,183.0,187.75,187.75,1556829.0
2622,2018-10-30,178.0,183.0,176.65,182.05,182.05,641739.0
2621,2018-10-29,176.0,179.5,174.0,178.35,178.35,546682.0
2620,2018-10-26,174.65,177.5,171.0,174.85,174.85,793723.0
2619,2018-10-25,171.0,177.5,163.25,172.5,172.5,2503411.0
2618,2018-10-24,168.5,173.85,168.05,172.4,172.4,746381.0
2617,2018-10-23,171.5,173.6,166.55,167.3,167.3,550039.0
2616,2018-10-22,175.5,181.3,170.7,171.85,171.85,1195879.0
