,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1091.5,1102.45,1085.0,1089.1,1089.1,1360.0
4223,2019-06-13,1090.1,1098.45,1076.3,1086.7,1086.7,20769.0
4222,2019-06-12,1119.7,1119.7,1086.65,1098.3,1098.3,3452.0
4221,2019-06-11,1088.2,1130.0,1087.0,1125.7,1125.7,6900.0
4220,2019-06-10,1102.05,1110.0,1087.0,1096.2,1096.2,3850.0
4219,2019-06-07,1113.5,1113.5,1100.0,1107.1,1107.1,6371.0
4218,2019-06-06,1105.0,1120.0,1095.0,1113.5,1113.5,10101.0
4217,2019-06-04,1090.85,1109.0,1081.2,1102.75,1102.75,5119.0
4216,2019-06-03,1095.0,1099.15,1085.95,1089.2,1089.2,5059.0
4215,2019-05-31,1106.75,1106.75,1085.9,1089.35,1089.35,4445.0
4214,2019-05-30,1085.05,1095.0,1084.1,1092.25,1092.25,15392.0
4213,2019-05-29,1090.0,1103.0,1075.85,1095.4,1095.4,6906.0
4212,2019-05-28,1131.95,1138.05,1083.6,1094.0,1094.0,15552.0
4211,2019-05-27,1091.0,1130.0,1091.0,1123.6,1123.6,6187.0
4210,2019-05-24,1099.9,1120.0,1082.0,1107.95,1107.95,25264.0
4209,2019-05-23,1081.55,1097.95,1078.0,1083.5,1083.5,6327.0
4208,2019-05-22,1111.9,1111.9,1080.0,1086.6,1086.6,2326.0
4207,2019-05-21,1102.05,1124.85,1078.0,1114.1,1114.1,5138.0
4206,2019-05-20,1080.6,1136.0,1080.6,1102.1,1102.1,2432.0
4205,2019-05-17,1106.6,1111.3,1090.05,1095.35,1095.35,11244.0
4204,2019-05-16,1093.2,1104.0,1093.2,1100.9,1100.9,2710.0
4203,2019-05-15,1098.5,1104.95,1093.9,1095.15,1095.15,33236.0
4202,2019-05-14,1094.9,1099.0,1080.05,1097.45,1097.45,7207.0
4201,2019-05-13,1120.05,1120.05,1085.0,1094.95,1094.95,79458.0
4200,2019-05-10,1127.0,1127.0,1081.4,1120.6,1120.6,10533.0
4199,2019-05-09,1130.0,1137.0,1105.05,1121.7,1121.7,3564.0
4198,2019-05-08,1090.05,1155.0,1076.0,1144.0,1144.0,17550.0
4197,2019-05-07,1081.8,1120.0,1070.55,1100.8,1100.8,9003.0
4196,2019-05-06,1124.6,1128.0,1068.2,1075.45,1075.45,32138.0
4195,2019-05-03,1129.85,1130.0,1122.0,1124.6,1124.6,12735.0
4194,2019-05-02,1124.05,1140.0,1123.0,1129.75,1129.75,5785.0
4193,2019-04-30,1135.0,1135.7,1124.25,1126.65,1126.65,2470.0
4192,2019-04-26,1142.3,1144.0,1130.0,1134.75,1134.75,3392.0
4191,2019-04-25,1140.55,1150.0,1128.0,1142.3,1142.3,13919.0
4190,2019-04-24,1121.65,1149.0,1120.0,1142.45,1142.45,6287.0
4189,2019-04-23,1106.05,1130.95,1106.05,1126.55,1126.55,2220.0
4188,2019-04-22,1138.5,1138.55,1110.0,1123.8,1123.8,5988.0
4187,2019-04-18,1115.15,1146.75,1111.0,1140.9,1140.9,6863.0
4186,2019-04-16,1155.0,1155.0,1112.6,1130.95,1130.95,15939.0
4185,2019-04-15,1128.1,1145.75,1128.1,1140.55,1140.55,5134.0
4184,2019-04-12,1131.25,1144.9,1121.0,1128.0,1128.0,7011.0
4183,2019-04-11,1122.0,1140.0,1122.0,1131.15,1131.15,9470.0
4182,2019-04-10,1090.0,1140.0,1088.0,1130.35,1130.35,29048.0
4181,2019-04-09,1078.9,1093.0,1069.8,1086.15,1086.15,6329.0
4180,2019-04-08,1088.6,1097.0,1068.1,1084.8,1084.8,9621.0
4179,2019-04-05,1077.4,1077.4,1057.25,1070.7,1070.7,20397.0
4178,2019-04-04,1078.6,1088.0,1065.0,1072.55,1072.55,58104.0
4177,2019-04-03,1074.75,1080.0,1065.3,1071.75,1071.75,6711.0
4176,2019-04-02,1084.05,1087.1,1065.0,1074.9,1074.9,4712.0
4175,2019-04-01,1100.0,1125.0,1079.0,1088.05,1088.05,16401.0
4174,2019-03-28,1080.7,1096.75,1070.0,1087.35,1087.35,10522.0
