,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,298.75,301.6,298.0,298.8,298.8,7959985.0
4873,2019-06-13,298.0,298.9,297.15,298.4,298.4,5000771.0
4872,2019-06-12,297.5,298.8,296.85,298.0,298.0,6222540.0
4871,2019-06-11,297.0,299.5,296.1,297.7,297.7,7234084.0
4870,2019-06-10,295.75,298.0,295.5,297.1,297.1,7481893.0
4869,2019-06-07,292.5,295.9,292.0,295.05,295.05,6784884.0
4868,2019-06-06,294.0,294.6,291.0,291.5,291.5,8600880.0
4867,2019-06-04,294.0,295.95,290.8,293.75,293.75,11081667.0
4866,2019-06-03,288.5,292.05,287.25,291.3,291.3,5853338.0
4865,2019-05-31,288.15,290.0,285.0,286.4,286.4,7324481.0
4864,2019-05-30,286.0,290.0,285.5,288.0,288.0,11575957.0
4863,2019-05-29,284.5,288.5,283.5,285.7,285.7,5505873.0
4862,2019-05-28,281.0,285.75,279.65,282.95,282.95,44137428.0
4861,2019-05-27,284.0,284.1,280.2,280.5,280.5,5450311.0
4860,2019-05-24,283.9,284.2,280.0,282.9,282.9,4927649.0
4859,2019-05-23,285.6,285.9,281.5,282.2,282.2,4856284.0
4858,2019-05-22,287.0,287.5,281.0,283.1,283.1,7650054.0
4857,2019-05-21,290.6,291.0,286.0,286.9,286.9,2514667.0
4856,2019-05-20,289.5,291.5,287.4,290.25,290.25,4183461.0
4855,2019-05-17,286.5,289.9,285.3,286.4,286.4,3356781.0
4854,2019-05-16,283.85,287.0,283.85,285.35,285.35,3595548.0
4853,2019-05-15,285.5,285.95,282.3,283.0,283.0,4315622.0
4852,2019-05-14,289.0,289.0,283.1,284.6,284.6,8370424.0
4851,2019-05-13,290.5,293.5,288.25,289.1,289.1,4281950.0
4850,2019-05-10,291.5,292.4,290.0,290.35,290.35,3066672.0
4849,2019-05-09,291.8,293.1,290.3,291.05,291.05,3748997.0
4848,2019-05-08,294.25,294.25,290.05,290.85,290.85,3952116.0
4847,2019-05-07,292.65,294.95,290.3,293.85,293.85,4353277.0
4846,2019-05-06,289.9,293.8,289.2,290.85,290.85,4304345.0
4845,2019-05-03,293.5,293.7,288.55,290.9,290.9,7408308.0
4844,2019-05-02,298.55,298.85,292.65,293.65,293.65,4539125.0
4843,2019-04-30,295.0,299.45,295.0,298.55,298.55,7339917.0
4842,2019-04-26,296.4,296.65,293.5,294.8,294.8,6196551.0
4841,2019-04-25,293.05,295.95,292.85,295.2,295.2,10390816.0
4840,2019-04-24,292.05,294.3,290.2,293.05,293.05,9149069.0
4839,2019-04-23,289.7,291.85,286.7,291.1,291.1,6177784.0
4838,2019-04-22,285.5,289.0,285.1,288.25,288.25,8412054.0
4837,2019-04-18,289.0,289.55,280.2,284.8,284.8,27425578.0
4836,2019-04-16,291.35,291.45,278.0,280.9,280.9,20367059.0
4835,2019-04-15,285.0,289.5,284.15,287.7,287.7,7067192.0
4834,2019-04-12,282.4,284.7,281.4,283.4,283.4,5789054.0
4833,2019-04-11,283.5,284.6,280.15,281.3,281.3,9441628.0
4832,2019-04-10,278.0,281.8,275.0,281.0,281.0,18530666.0
4831,2019-04-09,263.5,275.0,263.35,273.8,273.8,13991384.0
4830,2019-04-08,263.7,265.5,260.75,263.7,263.7,3637464.0
4829,2019-04-05,261.0,263.85,259.5,262.1,262.1,3614552.0
4828,2019-04-04,261.0,262.25,254.95,259.05,259.05,6419198.0
4827,2019-04-03,262.4,263.1,258.2,261.65,261.65,3769354.0
4826,2019-04-02,263.4,263.9,259.2,261.65,261.65,3706567.0
4825,2019-04-01,256.0,263.9,255.95,261.65,261.65,7066566.0
4824,2019-03-28,255.9,257.9,254.1,254.75,254.75,7104836.0
4823,2019-03-27,255.2,256.4,253.75,254.55,254.55,3357731.0
4822,2019-03-26,257.1,258.6,253.4,255.0,255.0,3850516.0
4821,2019-03-25,262.0,262.0,256.0,256.5,256.5,3373962.0
4820,2019-03-22,262.45,263.75,258.5,260.55,260.55,3198029.0
4819,2019-03-20,258.4,263.0,258.4,261.55,261.55,6114562.0
4818,2019-03-19,257.8,258.9,255.1,257.45,257.45,5051847.0
4817,2019-03-18,264.75,264.75,256.05,257.6,257.6,5748614.0
4816,2019-03-15,258.0,264.25,257.2,263.45,263.45,8720097.0
4815,2019-03-14,259.35,259.7,255.0,256.85,256.85,4489473.0
4814,2019-03-13,262.5,265.6,256.2,257.9,257.9,7219723.0
4813,2019-03-12,261.0,263.35,260.15,261.35,261.35,6290354.0
4812,2019-03-11,259.0,260.9,257.45,259.75,259.75,7354227.0
4811,2019-03-08,261.1,262.25,256.55,257.7,257.7,27344869.0
4810,2019-03-07,280.0,280.3,267.5,268.85,268.85,8100134.0
4809,2019-03-06,274.4,285.9,273.1,277.45,277.45,21507060.0
4808,2019-03-05,280.5,280.987,271.5,272.7,272.7,18021320.0
4807,2019-03-01,278.175,283.763,274.125,281.775,281.775,9381889.0
4806,2019-02-28,281.175,282.525,274.95,276.675,276.675,12571020.0
4805,2019-02-27,285.188,287.888,279.3,280.8,280.8,10678689.0
4804,2019-02-26,288.375,291.712,285.938,290.737,290.737,5070049.0
4803,2019-02-25,285.6,290.025,284.438,289.05,289.05,6237960.0
4802,2019-02-22,281.25,285.0,280.125,284.062,284.062,4259552.0
4801,2019-02-21,279.6,282.6,278.1,280.913,280.913,3430780.0
4800,2019-02-20,272.4,280.5,270.9,279.15,279.15,5880645.0
4799,2019-02-19,279.413,281.55,271.65,272.587,272.587,4085811.0
4798,2019-02-18,284.1,284.1,278.062,281.7,281.7,4640100.0
4797,2019-02-15,281.438,283.013,277.612,282.075,282.075,4696897.0
4796,2019-02-14,282.3,283.8,280.462,281.325,281.325,4099803.0
4795,2019-02-12,280.612,282.188,276.263,281.25,281.25,3969661.0
4794,2019-02-11,278.175,283.05,277.275,279.788,279.788,3963704.0
4793,2019-02-08,278.625,281.175,276.525,279.525,279.525,1867905.0
4792,2019-02-07,279.0,280.875,277.237,280.2,280.2,2991241.0
4791,2019-02-06,276.862,281.212,276.562,279.15,279.15,2905681.0
4790,2019-02-05,277.5,279.15,274.35,276.337,276.337,3275201.0
4789,2019-02-04,277.5,281.025,276.075,278.438,278.438,4191629.0
4788,2019-02-01,277.575,279.337,272.625,278.663,278.663,4488805.0
4787,2019-01-31,274.5,278.55,272.475,276.9,276.9,10258761.0
4786,2019-01-30,269.25,275.737,268.5,272.438,272.438,9878583.0
4785,2019-01-29,267.0,270.6,264.788,269.55,269.55,6160132.0
4784,2019-01-28,265.763,272.025,265.688,266.362,265.362,9199943.0
4783,2019-01-25,261.188,268.763,261.0,265.087,264.0918,6982071.0
4782,2019-01-24,262.65,264.75,259.875,263.812,262.8216,5640728.0
4781,2019-01-23,261.487,266.85,261.0,263.663,262.6731,13249901.0
4780,2019-01-22,252.6,262.2,252.0,259.875,258.8994,8908965.0
4779,2019-01-21,255.0,258.675,249.9,253.35,252.3988,20829131.0
4778,2019-01-18,252.0,260.625,250.05,259.612,258.6373,13455955.0
4777,2019-01-17,252.75,253.95,248.7,251.55,250.6056,7052245.0
4776,2019-01-16,248.85,254.85,246.788,252.413,251.4654,13195053.0
4775,2019-01-15,239.25,249.225,236.288,247.35,246.4214,20094393.0
4774,2019-01-14,247.538,248.325,233.512,234.413,233.5329,9217764.0
4773,2019-01-11,244.2,247.425,242.625,246.525,245.5995,2131919.0
4772,2019-01-10,248.1,248.288,242.25,244.312,243.3948,4132523.0
4771,2019-01-09,243.413,249.45,243.413,246.75,245.8236,5237175.0
4770,2019-01-08,243.75,245.625,241.95,244.163,243.2463,2779545.0
4769,2019-01-07,244.575,245.062,241.725,243.188,242.275,2538139.0
4768,2019-01-04,243.375,245.137,239.738,243.337,242.4234,3207037.0
4767,2019-01-03,245.25,245.962,242.288,244.125,243.2085,4723041.0
4766,2019-01-02,246.6,248.475,242.25,244.163,243.2463,4411071.0
