,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,390.0,397.35,384.3,387.25,387.25,2800680.0
4223,2019-06-13,387.95,390.4,377.05,383.1,383.1,858135.0
4222,2019-06-12,395.0,399.75,385.05,387.55,387.55,859342.0
4221,2019-06-11,379.25,399.0,376.1,396.75,396.75,1079601.0
4220,2019-06-10,383.4,386.9,373.9,380.8,380.8,964917.0
4219,2019-06-07,387.95,389.8,376.5,380.75,380.75,1032189.0
4218,2019-06-06,407.8,408.25,386.25,388.7,388.7,1045180.0
4217,2019-06-04,398.5,410.65,395.2,405.75,405.75,1130032.0
4216,2019-06-03,392.0,402.5,382.55,398.5,398.5,956751.0
4215,2019-05-31,404.8,405.25,386.1,390.15,390.15,993892.0
4214,2019-05-30,393.15,404.4,393.0,402.75,402.75,813772.0
4213,2019-05-29,400.55,403.4,390.85,392.45,392.45,741957.0
4212,2019-05-28,405.0,413.45,398.0,400.15,400.15,867202.0
4211,2019-05-27,408.0,413.0,401.2,406.15,406.15,789157.0
4210,2019-05-24,392.0,409.4,389.25,407.1,407.1,983792.0
4209,2019-05-23,399.0,403.7,388.55,391.35,391.35,902335.0
4208,2019-05-22,383.8,398.0,378.25,394.3,394.3,1344188.0
4207,2019-05-21,389.0,399.7,381.1,383.8,383.8,1344357.0
4206,2019-05-20,370.0,391.9,370.0,387.7,387.7,1241797.0
4205,2019-05-17,364.2,368.5,359.45,364.85,364.85,1011321.0
4204,2019-05-16,379.6,379.6,358.0,363.55,363.55,1457518.0
4203,2019-05-15,383.0,386.9,375.25,378.45,378.45,1365184.0
4202,2019-05-14,358.3,384.0,349.1,379.95,379.95,1958714.0
4201,2019-05-13,377.1,377.15,349.0,358.6,358.6,1547936.0
4200,2019-05-10,380.85,384.6,377.2,379.7,379.7,968599.0
4199,2019-05-09,387.8,390.65,381.0,383.3,383.3,989204.0
4198,2019-05-08,396.5,399.55,387.0,388.55,388.55,1001335.0
4197,2019-05-07,418.95,418.95,395.0,400.2,400.2,2527338.0
4196,2019-05-06,396.15,414.35,396.15,409.0,409.0,1475083.0
4195,2019-05-03,407.7,410.0,402.35,407.75,407.75,785890.0
4194,2019-05-02,411.4,414.7,404.7,406.35,406.35,784087.0
4193,2019-04-30,428.4,428.7,406.0,413.1,413.1,1197089.0
4192,2019-04-26,430.3,435.7,426.0,427.95,427.95,795480.0
4191,2019-04-25,428.6,435.95,425.2,428.9,428.9,1044876.0
4190,2019-04-24,429.3,429.5,422.6,426.85,426.85,667246.0
4189,2019-04-23,425.5,431.25,422.05,427.1,427.1,1060845.0
4188,2019-04-22,437.4,440.8,423.0,424.7,424.7,990998.0
4187,2019-04-18,453.5,456.25,435.8,439.15,439.15,1175477.0
4186,2019-04-16,455.75,457.5,451.6,453.75,453.75,1025747.0
4185,2019-04-15,456.0,460.0,450.1,452.9,452.9,1654310.0
4184,2019-04-12,448.0,453.95,446.5,449.6,449.6,1870391.0
4183,2019-04-11,450.0,457.8,445.0,446.9,446.9,3501357.0
4182,2019-04-10,442.9,451.5,440.15,442.4,442.4,2214572.0
4181,2019-04-09,442.9,446.15,433.0,444.0,444.0,2811272.0
4180,2019-04-08,448.0,460.0,440.25,443.1,443.1,2306149.0
4179,2019-04-05,447.05,452.0,440.25,443.1,443.1,916376.0
4178,2019-04-04,437.8,448.5,434.0,444.8,444.8,1339876.0
4177,2019-04-03,445.0,453.15,434.25,437.25,437.25,1192108.0
4176,2019-04-02,457.2,458.4,442.1,445.9,445.9,1190846.0
4175,2019-04-01,446.4,470.9,442.7,455.0,455.0,3331749.0
4174,2019-03-28,428.0,437.45,426.0,432.7,432.7,1590555.0
4173,2019-03-27,432.0,443.15,427.5,429.5,429.5,3894774.0
4172,2019-03-26,422.1,424.5,417.45,421.9,421.9,1058358.0
4171,2019-03-25,427.0,438.7,416.5,420.3,420.3,2388588.0
4170,2019-03-22,428.95,430.2,422.5,427.85,427.85,836694.0
4169,2019-03-20,430.8,433.85,424.25,427.15,427.15,757132.0
4168,2019-03-19,430.7,436.6,429.05,431.15,431.15,755735.0
4167,2019-03-18,434.95,434.95,426.6,429.0,429.0,962282.0
4166,2019-03-15,431.8,438.5,428.0,430.55,430.55,1782635.0
4165,2019-03-14,428.9,439.6,421.05,431.65,431.65,1537188.0
4164,2019-03-13,438.7,444.0,425.55,427.0,427.0,1241150.0
4163,2019-03-12,444.0,450.8,435.0,439.0,439.0,2179203.0
4162,2019-03-11,424.0,442.7,423.0,439.7,439.7,1849523.0
4161,2019-03-08,424.8,429.9,416.0,421.8,421.8,1531464.0
4160,2019-03-07,430.55,436.4,423.05,427.15,427.15,1915292.0
4159,2019-03-06,427.5,437.85,421.25,430.55,430.55,3709997.0
4158,2019-03-05,424.8,431.6,420.1,425.85,425.85,2428343.0
4157,2019-03-01,400.8,427.0,396.2,420.65,420.65,3206426.0
4156,2019-02-28,397.0,401.85,393.1,396.0,396.0,1111206.0
4155,2019-02-27,396.0,404.1,391.0,394.85,394.85,1481908.0
4154,2019-02-26,393.0,394.75,383.0,391.7,391.7,1798575.0
4153,2019-02-25,395.75,404.4,394.2,397.5,397.5,1551423.0
4152,2019-02-22,398.8,402.0,392.35,393.7,393.7,951506.0
4151,2019-02-21,393.6,404.0,392.9,397.4,397.4,1814014.0
4150,2019-02-20,393.4,395.7,389.1,392.65,392.65,824487.0
4149,2019-02-19,391.7,401.3,388.45,392.15,392.15,906772.0
4148,2019-02-18,394.7,397.0,387.5,389.6,389.6,815106.0
4147,2019-02-15,405.4,405.4,389.5,392.7,392.7,1148491.0
4146,2019-02-14,392.8,416.9,390.3,405.1,405.1,1532295.0
4145,2019-02-12,407.0,415.55,403.7,407.85,407.85,818406.0
4144,2019-02-11,412.6,413.45,399.25,407.2,407.2,1012571.0
4143,2019-02-08,419.0,422.35,405.2,415.15,415.15,1071755.0
4142,2019-02-07,404.9,428.5,403.4,419.0,419.0,2522836.0
4141,2019-02-06,409.5,412.7,380.35,400.0,400.0,2385005.0
4140,2019-02-05,420.7,424.5,406.4,411.0,411.0,1228930.0
4139,2019-02-04,450.5,451.35,418.55,422.0,422.0,1757302.0
4138,2019-02-01,443.7,455.0,438.5,449.75,449.75,805950.0
4137,2019-01-31,444.8,448.0,435.0,441.45,441.45,706054.0
4136,2019-01-30,446.0,451.2,440.1,443.8,443.8,706195.0
4135,2019-01-29,444.0,456.65,437.35,449.05,449.05,1494060.0
4134,2019-01-28,481.0,481.0,426.85,444.95,444.95,3243195.0
4133,2019-01-25,486.85,489.4,475.3,478.9,478.9,766588.0
4132,2019-01-24,492.9,496.8,480.2,483.6,483.6,794794.0
4131,2019-01-23,496.0,500.95,490.4,492.25,492.25,666872.0
4130,2019-01-22,495.0,497.9,488.2,494.95,494.95,815987.0
4129,2019-01-21,491.7,504.85,491.4,494.7,494.7,1701061.0
4128,2019-01-18,503.0,503.6,486.6,489.35,489.35,1504398.0
4127,2019-01-17,513.05,513.7,499.0,501.3,501.3,846304.0
4126,2019-01-16,509.8,516.2,507.9,510.45,510.45,681044.0
