,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,252.25,257.0,252.15,256.0,256.0,435213.0
4223,2019-06-13,259.9,259.9,254.1,255.45,255.45,37849.0
4222,2019-06-12,260.0,260.35,253.5,255.7,255.7,42720.0
4221,2019-06-11,256.0,271.35,255.3,260.35,260.35,372716.0
4220,2019-06-10,254.0,254.0,250.5,251.8,251.8,19482.0
4219,2019-06-07,253.4,253.9,250.0,251.5,251.5,22948.0
4218,2019-06-06,251.0,254.5,250.0,250.1,250.1,12281.0
4217,2019-06-04,250.5,254.95,250.0,254.0,254.0,32141.0
4216,2019-06-03,249.75,253.9,244.45,251.9,251.9,48725.0
4215,2019-05-31,247.7,254.85,246.7,250.0,250.0,68322.0
4214,2019-05-30,245.8,249.5,245.4,248.2,248.2,15100.0
4213,2019-05-29,247.8,249.9,245.1,245.8,245.8,18721.0
4212,2019-05-28,245.75,249.9,243.85,247.8,247.8,72526.0
4211,2019-05-27,245.9,247.0,244.65,245.5,245.5,22544.0
4210,2019-05-24,245.0,247.0,244.55,245.1,245.1,28959.0
4209,2019-05-23,246.0,249.4,245.0,245.0,245.0,14313.0
4208,2019-05-22,248.9,249.0,245.0,245.8,245.8,28841.0
4207,2019-05-21,245.45,250.5,245.0,249.2,249.2,26934.0
4206,2019-05-20,248.0,250.55,244.7,245.9,245.9,59920.0
4205,2019-05-17,246.5,248.0,245.35,247.1,247.1,13551.0
4204,2019-05-16,246.95,248.05,245.3,246.5,246.5,16949.0
4203,2019-05-15,242.0,248.8,241.2,247.1,247.1,60250.0
4202,2019-05-14,237.65,244.75,235.9,242.9,242.9,33885.0
4201,2019-05-13,241.8,243.0,236.55,237.65,237.65,57152.0
4200,2019-05-10,246.25,252.0,241.0,242.15,242.15,36406.0
4199,2019-05-09,246.55,252.85,245.0,246.9,246.9,52783.0
4198,2019-05-08,239.1,249.5,239.0,247.55,247.55,84180.0
4197,2019-05-07,235.05,244.0,235.05,242.5,242.5,34445.0
4196,2019-05-06,243.8,248.35,235.35,239.05,239.05,52842.0
4195,2019-05-03,246.0,256.5,244.85,246.1,246.1,185757.0
4194,2019-05-02,252.9,253.0,241.95,246.25,246.25,328034.0
4193,2019-04-30,232.0,236.4,230.25,234.65,234.65,48216.0
4192,2019-04-26,232.25,234.25,230.0,231.05,231.05,11897.0
4191,2019-04-25,233.6,233.6,231.0,232.1,232.1,18046.0
4190,2019-04-24,232.9,235.75,232.5,233.6,233.6,25010.0
